date,/m/0k_9,isPartial
2019-12-29,58,False
2020-01-05,82,False
2020-01-12,71,False
2020-01-19,76,False
2020-01-26,55,False
2020-02-02,75,False
2020-02-09,74,False
2020-02-16,67,False
2020-02-23,71,False
2020-03-01,68,False
2020-03-08,72,False
2020-03-15,88,False
2020-03-22,81,False
2020-03-29,68,False
2020-04-05,80,False
2020-04-12,86,False
2020-04-19,74,False
2020-04-26,84,False
2020-05-03,75,False
2020-05-10,71,False
2020-05-17,61,False
2020-05-24,78,False
2020-05-31,70,False
2020-06-07,74,False
2020-06-14,78,False
2020-06-21,70,False
2020-06-28,64,False
2020-07-05,84,False
2020-07-12,73,False
2020-07-19,61,False
2020-07-26,69,False
2020-08-02,63,False
2020-08-09,63,False
2020-08-16,79,False
2020-08-23,73,False
2020-08-30,76,False
2020-09-06,86,False
2020-09-13,81,False
2020-09-20,84,False
2020-09-27,67,False
2020-10-04,69,False
2020-10-11,71,False
2020-10-18,69,False
2020-10-25,69,False
2020-11-01,100,False
2020-11-08,88,False
2020-11-15,73,False
2020-11-22,82,False
2020-11-29,90,False
2020-12-06,81,False
2020-12-13,80,False
2020-12-20,62,False
2020-12-27,71,False
