date,/m/0k_9,isPartial
2019-12-29,91,False
2020-01-05,85,False
2020-01-12,80,False
2020-01-19,81,False
2020-01-26,82,False
2020-02-02,79,False
2020-02-09,77,False
2020-02-16,71,False
2020-02-23,78,False
2020-03-01,83,False
2020-03-08,100,False
2020-03-15,94,False
2020-03-22,88,False
2020-03-29,93,False
2020-04-05,88,False
2020-04-12,75,False
2020-04-19,78,False
2020-04-26,89,False
2020-05-03,85,False
2020-05-10,89,False
2020-05-17,83,False
2020-05-24,76,False
2020-05-31,77,False
2020-06-07,84,False
2020-06-14,82,False
2020-06-21,76,False
2020-06-28,78,False
2020-07-05,79,False
2020-07-12,80,False
2020-07-19,75,False
2020-07-26,77,False
2020-08-02,73,False
2020-08-09,87,False
2020-08-16,74,False
2020-08-23,84,False
2020-08-30,84,False
2020-09-06,84,False
2020-09-13,81,False
2020-09-20,78,False
2020-09-27,81,False
2020-10-04,82,False
2020-10-11,81,False
2020-10-18,80,False
2020-10-25,77,False
2020-11-01,78,False
2020-11-08,88,False
2020-11-15,80,False
2020-11-22,76,False
2020-11-29,78,False
2020-12-06,72,False
2020-12-13,75,False
2020-12-20,75,False
2020-12-27,90,False
