date,/m/03f_cb,isPartial
2019-12-29,90,False
2020-01-05,96,False
2020-01-12,89,False
2020-01-19,89,False
2020-01-26,86,False
2020-02-02,75,False
2020-02-09,90,False
2020-02-16,100,False
2020-02-23,90,False
2020-03-01,81,False
2020-03-08,65,False
2020-03-15,56,False
2020-03-22,60,False
2020-03-29,62,False
2020-04-05,64,False
2020-04-12,78,False
2020-04-19,76,False
2020-04-26,76,False
2020-05-03,80,False
2020-05-10,82,False
2020-05-17,83,False
2020-05-24,80,False
2020-05-31,75,False
2020-06-07,83,False
2020-06-14,80,False
2020-06-21,76,False
2020-06-28,75,False
2020-07-05,83,False
2020-07-12,78,False
2020-07-19,83,False
2020-07-26,83,False
2020-08-02,80,False
2020-08-09,83,False
2020-08-16,77,False
2020-08-23,78,False
2020-08-30,67,False
2020-09-06,78,False
2020-09-13,90,False
2020-09-20,76,False
2020-09-27,72,False
2020-10-04,74,False
2020-10-11,67,False
2020-10-18,79,False
2020-10-25,83,False
2020-11-01,90,False
2020-11-08,81,False
2020-11-15,83,False
2020-11-22,90,False
2020-11-29,73,False
2020-12-06,85,False
2020-12-13,87,False
2020-12-20,67,False
2020-12-27,90,False
