date,/m/03f_cb,isPartial
2019-12-29,70,False
2020-01-05,51,False
2020-01-12,100,False
2020-01-19,67,False
2020-01-26,47,False
2020-02-02,48,False
2020-02-09,56,False
2020-02-16,47,False
2020-02-23,72,False
2020-03-01,68,False
2020-03-08,42,False
2020-03-15,42,False
2020-03-22,54,False
2020-03-29,0,False
2020-04-05,49,False
2020-04-12,0,False
2020-04-19,32,False
2020-04-26,54,False
2020-05-03,45,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,45,False
2020-05-31,58,False
2020-06-07,48,False
2020-06-14,61,False
2020-06-21,38,False
2020-06-28,44,False
2020-07-05,0,False
2020-07-12,42,False
2020-07-19,59,False
2020-07-26,0,False
2020-08-02,47,False
2020-08-09,48,False
2020-08-16,40,False
2020-08-23,61,False
2020-08-30,67,False
2020-09-06,50,False
2020-09-13,58,False
2020-09-20,67,False
2020-09-27,46,False
2020-10-04,39,False
2020-10-11,64,False
2020-10-18,56,False
2020-10-25,66,False
2020-11-01,60,False
2020-11-08,37,False
2020-11-15,56,False
2020-11-22,49,False
2020-11-29,45,False
2020-12-06,43,False
2020-12-13,52,False
2020-12-20,70,False
2020-12-27,58,False
