date,/m/06796,isPartial
2019-12-29,76,False
2020-01-05,79,False
2020-01-12,74,False
2020-01-19,74,False
2020-01-26,89,False
2020-02-02,86,False
2020-02-09,70,False
2020-02-16,100,False
2020-02-23,88,False
2020-03-01,91,False
2020-03-08,61,False
2020-03-15,49,False
2020-03-22,43,False
2020-03-29,43,False
2020-04-05,50,False
2020-04-12,49,False
2020-04-19,52,False
2020-04-26,52,False
2020-05-03,65,False
2020-05-10,59,False
2020-05-17,51,False
2020-05-24,48,False
2020-05-31,56,False
2020-06-07,73,False
2020-06-14,73,False
2020-06-21,78,False
2020-06-28,79,False
2020-07-05,70,False
2020-07-12,74,False
2020-07-19,68,False
2020-07-26,77,False
2020-08-02,66,False
2020-08-09,77,False
2020-08-16,60,False
2020-08-23,68,False
2020-08-30,78,False
2020-09-06,83,False
2020-09-13,83,False
2020-09-20,87,False
2020-09-27,86,False
2020-10-04,71,False
2020-10-11,81,False
2020-10-18,56,False
2020-10-25,60,False
2020-11-01,65,False
2020-11-08,71,False
2020-11-15,77,False
2020-11-22,82,False
2020-11-29,60,False
2020-12-06,63,False
2020-12-13,69,False
2020-12-20,27,False
2020-12-27,48,False
