date,/m/0k_9,isPartial
2020-12-27,82,False
2021-01-03,76,False
2021-01-10,74,False
2021-01-17,85,False
2021-01-24,83,False
2021-01-31,84,False
2021-02-07,81,False
2021-02-14,75,False
2021-02-21,84,False
2021-02-28,78,False
2021-03-07,92,False
2021-03-14,80,False
2021-03-21,81,False
2021-03-28,95,False
2021-04-04,80,False
2021-04-11,81,False
2021-04-18,75,False
2021-04-25,75,False
2021-05-02,79,False
2021-05-09,69,False
2021-05-16,76,False
2021-05-23,74,False
2021-05-30,80,False
2021-06-06,68,False
2021-06-13,74,False
2021-06-20,72,False
2021-06-27,75,False
2021-07-04,69,False
2021-07-11,67,False
2021-07-18,78,False
2021-07-25,80,False
2021-08-01,96,False
2021-08-08,100,False
2021-08-15,87,False
2021-08-22,94,False
2021-08-29,88,False
2021-09-05,88,False
2021-09-12,72,False
2021-09-19,86,False
2021-09-26,78,False
2021-10-03,79,False
2021-10-10,76,False
2021-10-17,81,False
2021-10-24,87,False
2021-10-31,79,False
2021-11-07,91,False
2021-11-14,78,False
2021-11-21,76,False
2021-11-28,80,False
2021-12-05,81,False
2021-12-12,82,False
2021-12-19,71,False
2021-12-26,81,False
