date,/m/0k_9,isPartial
2020-12-27,61,False
2021-01-03,71,False
2021-01-10,67,False
2021-01-17,84,False
2021-01-24,67,False
2021-01-31,91,False
2021-02-07,72,False
2021-02-14,52,False
2021-02-21,65,False
2021-02-28,61,False
2021-03-07,68,False
2021-03-14,78,False
2021-03-21,80,False
2021-03-28,73,False
2021-04-04,72,False
2021-04-11,62,False
2021-04-18,78,False
2021-04-25,58,False
2021-05-02,52,False
2021-05-09,93,False
2021-05-16,74,False
2021-05-23,84,False
2021-05-30,86,False
2021-06-06,72,False
2021-06-13,82,False
2021-06-20,75,False
2021-06-27,72,False
2021-07-04,89,False
2021-07-11,96,False
2021-07-18,100,False
2021-07-25,79,False
2021-08-01,77,False
2021-08-08,100,False
2021-08-15,87,False
2021-08-22,81,False
2021-08-29,98,False
2021-09-05,95,False
2021-09-12,87,False
2021-09-19,56,False
2021-09-26,78,False
2021-10-03,72,False
2021-10-10,81,False
2021-10-17,80,False
2021-10-24,91,False
2021-10-31,68,False
2021-11-07,78,False
2021-11-14,73,False
2021-11-21,64,False
2021-11-28,95,False
2021-12-05,92,False
2021-12-12,68,False
2021-12-19,61,False
2021-12-26,91,False
