date,/m/0k_9,isPartial
2020-12-27,59,False
2021-01-03,90,False
2021-01-10,43,False
2021-01-17,48,False
2021-01-24,59,False
2021-01-31,65,False
2021-02-07,84,False
2021-02-14,52,False
2021-02-21,58,False
2021-02-28,81,False
2021-03-07,59,False
2021-03-14,65,False
2021-03-21,58,False
2021-03-28,73,False
2021-04-04,88,False
2021-04-11,77,False
2021-04-18,80,False
2021-04-25,100,False
2021-05-02,67,False
2021-05-09,66,False
2021-05-16,55,False
2021-05-23,77,False
2021-05-30,56,False
2021-06-06,0,False
2021-06-13,0,False
2021-06-20,53,False
2021-06-27,47,False
2021-07-04,57,False
2021-07-11,0,False
2021-07-18,80,False
2021-07-25,48,False
2021-08-01,52,False
2021-08-08,65,False
2021-08-15,0,False
2021-08-22,0,False
2021-08-29,53,False
2021-09-05,64,False
2021-09-12,61,False
2021-09-19,69,False
2021-09-26,91,False
2021-10-03,66,False
2021-10-10,65,False
2021-10-17,61,False
2021-10-24,45,False
2021-10-31,90,False
2021-11-07,66,False
2021-11-14,44,False
2021-11-21,60,False
2021-11-28,69,False
2021-12-05,48,False
2021-12-12,62,False
2021-12-19,86,False
2021-12-26,0,False
