date,/m/03f_cb,isPartial
2020-12-27,69,False
2021-01-03,86,False
2021-01-10,92,False
2021-01-17,97,False
2021-01-24,86,False
2021-01-31,91,False
2021-02-07,86,False
2021-02-14,83,False
2021-02-21,95,False
2021-02-28,94,False
2021-03-07,95,False
2021-03-14,87,False
2021-03-21,82,False
2021-03-28,86,False
2021-04-04,88,False
2021-04-11,92,False
2021-04-18,86,False
2021-04-25,79,False
2021-05-02,74,False
2021-05-09,80,False
2021-05-16,94,False
2021-05-23,96,False
2021-05-30,87,False
2021-06-06,87,False
2021-06-13,86,False
2021-06-20,67,False
2021-06-27,86,False
2021-07-04,79,False
2021-07-11,82,False
2021-07-18,77,False
2021-07-25,75,False
2021-08-01,70,False
2021-08-08,69,False
2021-08-15,74,False
2021-08-22,67,False
2021-08-29,78,False
2021-09-05,95,False
2021-09-12,87,False
2021-09-19,85,False
2021-09-26,87,False
2021-10-03,79,False
2021-10-10,94,False
2021-10-17,97,False
2021-10-24,99,False
2021-10-31,100,False
2021-11-07,94,False
2021-11-14,85,False
2021-11-21,89,False
2021-11-28,91,False
2021-12-05,89,False
2021-12-12,99,False
2021-12-19,89,False
2021-12-26,82,False
