date,/m/06796,isPartial
2020-12-27,40,False
2021-01-03,64,False
2021-01-10,60,False
2021-01-17,100,False
2021-01-24,89,False
2021-01-31,72,False
2021-02-07,76,False
2021-02-14,71,False
2021-02-21,77,False
2021-02-28,72,False
2021-03-07,71,False
2021-03-14,68,False
2021-03-21,77,False
2021-03-28,71,False
2021-04-04,65,False
2021-04-11,83,False
2021-04-18,55,False
2021-04-25,61,False
2021-05-02,65,False
2021-05-09,55,False
2021-05-16,51,False
2021-05-23,67,False
2021-05-30,55,False
2021-06-06,52,False
2021-06-13,56,False
2021-06-20,43,False
2021-06-27,49,False
2021-07-04,40,False
2021-07-11,42,False
2021-07-18,43,False
2021-07-25,48,False
2021-08-01,48,False
2021-08-08,58,False
2021-08-15,59,False
2021-08-22,50,False
2021-08-29,64,False
2021-09-05,75,False
2021-09-12,66,False
2021-09-19,72,False
2021-09-26,60,False
2021-10-03,67,False
2021-10-10,73,False
2021-10-17,64,False
2021-10-24,65,False
2021-10-31,60,False
2021-11-07,67,False
2021-11-14,71,False
2021-11-21,56,False
2021-11-28,58,False
2021-12-05,58,False
2021-12-12,50,False
2021-12-19,44,False
2021-12-26,46,False
