date,/m/06796,isPartial
2020-12-27,39,False
2021-01-03,53,False
2021-01-10,53,False
2021-01-17,49,False
2021-01-24,47,False
2021-01-31,60,False
2021-02-07,44,False
2021-02-14,33,False
2021-02-21,48,False
2021-02-28,64,False
2021-03-07,45,False
2021-03-14,45,False
2021-03-21,45,False
2021-03-28,65,False
2021-04-04,57,False
2021-04-11,53,False
2021-04-18,55,False
2021-04-25,62,False
2021-05-02,53,False
2021-05-09,63,False
2021-05-16,40,False
2021-05-23,62,False
2021-05-30,37,False
2021-06-06,61,False
2021-06-13,34,False
2021-06-20,57,False
2021-06-27,42,False
2021-07-04,44,False
2021-07-11,61,False
2021-07-18,53,False
2021-07-25,39,False
2021-08-01,52,False
2021-08-08,47,False
2021-08-15,55,False
2021-08-22,55,False
2021-08-29,63,False
2021-09-05,67,False
2021-09-12,62,False
2021-09-19,66,False
2021-09-26,57,False
2021-10-03,75,False
2021-10-10,76,False
2021-10-17,77,False
2021-10-24,100,False
2021-10-31,48,False
2021-11-07,64,False
2021-11-14,58,False
2021-11-21,43,False
2021-11-28,56,False
2021-12-05,67,False
2021-12-12,42,False
2021-12-19,46,False
2021-12-26,58,False
