date,/m/0jgxn,isPartial
2020-12-27,63,False
2021-01-03,98,False
2021-01-10,97,False
2021-01-17,100,False
2021-01-24,96,False
2021-01-31,94,False
2021-02-07,89,False
2021-02-14,89,False
2021-02-21,94,False
2021-02-28,88,False
2021-03-07,97,False
2021-03-14,92,False
2021-03-21,87,False
2021-03-28,86,False
2021-04-04,74,False
2021-04-11,75,False
2021-04-18,85,False
2021-04-25,86,False
2021-05-02,81,False
2021-05-09,75,False
2021-05-16,81,False
2021-05-23,82,False
2021-05-30,83,False
2021-06-06,83,False
2021-06-13,69,False
2021-06-20,77,False
2021-06-27,65,False
2021-07-04,71,False
2021-07-11,64,False
2021-07-18,66,False
2021-07-25,90,False
2021-08-01,80,False
2021-08-08,82,False
2021-08-15,86,False
2021-08-22,83,False
2021-08-29,97,False
2021-09-05,100,False
2021-09-12,90,False
2021-09-19,92,False
2021-09-26,93,False
2021-10-03,92,False
2021-10-10,97,False
2021-10-17,98,False
2021-10-24,89,False
2021-10-31,81,False
2021-11-07,86,False
2021-11-14,95,False
2021-11-21,85,False
2021-11-28,83,False
2021-12-05,85,False
2021-12-12,86,False
2021-12-19,77,False
2021-12-26,70,False
