date,/m/0k_9,isPartial
2021-12-26,53,False
2022-01-02,49,False
2022-01-09,57,False
2022-01-16,45,False
2022-01-23,55,False
2022-01-30,50,False
2022-02-06,55,False
2022-02-13,50,False
2022-02-20,70,False
2022-02-27,81,False
2022-03-06,60,False
2022-03-13,51,False
2022-03-20,42,False
2022-03-27,58,False
2022-04-03,60,False
2022-04-10,60,False
2022-04-17,52,False
2022-04-24,67,False
2022-05-01,48,False
2022-05-08,44,False
2022-05-15,37,False
2022-05-22,27,False
2022-05-29,55,False
2022-06-05,35,False
2022-06-12,48,False
2022-06-19,57,False
2022-06-26,72,False
2022-07-03,51,False
2022-07-10,39,False
2022-07-17,39,False
2022-07-24,43,False
2022-07-31,34,False
2022-08-07,51,False
2022-08-14,37,False
2022-08-21,45,False
2022-08-28,42,False
2022-09-04,54,False
2022-09-11,46,False
2022-09-18,41,False
2022-09-25,46,False
2022-10-02,59,False
2022-10-09,58,False
2022-10-16,62,False
2022-10-23,59,False
2022-10-30,57,False
2022-11-06,51,False
2022-11-13,48,False
2022-11-20,100,False
2022-11-27,54,False
2022-12-04,39,False
2022-12-11,61,False
2022-12-18,49,False
2022-12-25,47,False
