date,/m/03f_cb,isPartial
2021-12-26,79,False
2022-01-02,62,False
2022-01-09,53,False
2022-01-16,61,False
2022-01-23,45,False
2022-01-30,48,False
2022-02-06,46,False
2022-02-13,60,False
2022-02-20,68,False
2022-02-27,63,False
2022-03-06,72,False
2022-03-13,82,False
2022-03-20,56,False
2022-03-27,59,False
2022-04-03,54,False
2022-04-10,56,False
2022-04-17,54,False
2022-04-24,52,False
2022-05-01,59,False
2022-05-08,45,False
2022-05-15,53,False
2022-05-22,55,False
2022-05-29,51,False
2022-06-05,65,False
2022-06-12,48,False
2022-06-19,56,False
2022-06-26,44,False
2022-07-03,59,False
2022-07-10,60,False
2022-07-17,80,False
2022-07-24,64,False
2022-07-31,78,False
2022-08-07,71,False
2022-08-14,58,False
2022-08-21,67,False
2022-08-28,71,False
2022-09-04,59,False
2022-09-11,90,False
2022-09-18,72,False
2022-09-25,87,False
2022-10-02,60,False
2022-10-09,98,False
2022-10-16,76,False
2022-10-23,100,False
2022-10-30,73,False
2022-11-06,86,False
2022-11-13,86,False
2022-11-20,79,False
2022-11-27,80,False
2022-12-04,67,False
2022-12-11,66,False
2022-12-18,61,False
2022-12-25,70,False
