date,/m/03f_cb,isPartial
2021-12-26,0,False
2022-01-02,0,False
2022-01-09,0,False
2022-01-16,0,False
2022-01-23,64,False
2022-01-30,83,False
2022-02-06,75,False
2022-02-13,66,False
2022-02-20,87,False
2022-02-27,75,False
2022-03-06,55,False
2022-03-13,100,False
2022-03-20,0,False
2022-03-27,93,False
2022-04-03,76,False
2022-04-10,0,False
2022-04-17,82,False
2022-04-24,0,False
2022-05-01,76,False
2022-05-08,69,False
2022-05-15,63,False
2022-05-22,61,False
2022-05-29,66,False
2022-06-05,0,False
2022-06-12,64,False
2022-06-19,55,False
2022-06-26,0,False
2022-07-03,79,False
2022-07-10,99,False
2022-07-17,88,False
2022-07-24,89,False
2022-07-31,70,False
2022-08-07,70,False
2022-08-14,74,False
2022-08-21,0,False
2022-08-28,95,False
2022-09-04,0,False
2022-09-11,0,False
2022-09-18,67,False
2022-09-25,60,False
2022-10-02,81,False
2022-10-09,65,False
2022-10-16,82,False
2022-10-23,68,False
2022-10-30,81,False
2022-11-06,68,False
2022-11-13,55,False
2022-11-20,0,False
2022-11-27,58,False
2022-12-04,86,False
2022-12-11,0,False
2022-12-18,0,False
2022-12-25,74,False
