date,/m/06796,isPartial
2021-12-26,72,False
2022-01-02,55,False
2022-01-09,53,False
2022-01-16,73,False
2022-01-23,57,False
2022-01-30,70,False
2022-02-06,0,False
2022-02-13,69,False
2022-02-20,77,False
2022-02-27,52,False
2022-03-06,54,False
2022-03-13,51,False
2022-03-20,40,False
2022-03-27,42,False
2022-04-03,51,False
2022-04-10,53,False
2022-04-17,57,False
2022-04-24,78,False
2022-05-01,71,False
2022-05-08,38,False
2022-05-15,54,False
2022-05-22,76,False
2022-05-29,71,False
2022-06-05,47,False
2022-06-12,47,False
2022-06-19,45,False
2022-06-26,48,False
2022-07-03,45,False
2022-07-10,45,False
2022-07-17,0,False
2022-07-24,62,False
2022-07-31,49,False
2022-08-07,41,False
2022-08-14,56,False
2022-08-21,0,False
2022-08-28,64,False
2022-09-04,61,False
2022-09-11,52,False
2022-09-18,46,False
2022-09-25,94,False
2022-10-02,74,False
2022-10-09,73,False
2022-10-16,43,False
2022-10-23,54,False
2022-10-30,72,False
2022-11-06,51,False
2022-11-13,46,False
2022-11-20,100,False
2022-11-27,57,False
2022-12-04,68,False
2022-12-11,40,False
2022-12-18,0,False
2022-12-25,54,False
