date,/m/06796,isPartial
2023-01-01,0,False
2023-01-08,42,False
2023-01-15,46,False
2023-01-22,72,False
2023-01-29,43,False
2023-02-05,0,False
2023-02-12,0,False
2023-02-19,56,False
2023-02-26,45,False
2023-03-05,48,False
2023-03-12,47,False
2023-03-19,0,False
2023-03-26,49,False
2023-04-02,38,False
2023-04-09,0,False
2023-04-16,35,False
2023-04-23,49,False
2023-04-30,45,False
2023-05-07,49,False
2023-05-14,36,False
2023-05-21,53,False
2023-05-28,46,False
2023-06-04,54,False
2023-06-11,33,False
2023-06-18,100,False
2023-06-25,53,False
2023-07-02,60,False
2023-07-09,0,False
2023-07-16,0,False
2023-07-23,51,False
2023-07-30,39,False
2023-08-06,0,False
2023-08-13,0,False
2023-08-20,0,False
2023-08-27,48,False
2023-09-03,42,False
2023-09-10,72,False
2023-09-17,44,False
2023-09-24,67,False
2023-10-01,63,False
2023-10-08,35,False
2023-10-15,34,False
2023-10-22,44,False
2023-10-29,38,False
2023-11-05,40,False
2023-11-12,44,False
2023-11-19,51,False
2023-11-26,58,False
2023-12-03,50,False
2023-12-10,47,False
2023-12-17,37,False
2023-12-24,0,False
2023-12-31,58,False
