date,/m/0jgxn,isPartial
2023-01-01,57,False
2023-01-08,88,False
2023-01-15,100,False
2023-01-22,63,False
2023-01-29,87,False
2023-02-05,86,False
2023-02-12,80,False
2023-02-19,82,False
2023-02-26,96,False
2023-03-05,73,False
2023-03-12,84,False
2023-03-19,69,False
2023-03-26,0,False
2023-04-02,69,False
2023-04-09,50,False
2023-04-16,74,False
2023-04-23,72,False
2023-04-30,53,False
2023-05-07,87,False
2023-05-14,82,False
2023-05-21,77,False
2023-05-28,85,False
2023-06-04,79,False
2023-06-11,54,False
2023-06-18,67,False
2023-06-25,63,False
2023-07-02,80,False
2023-07-09,70,False
2023-07-16,64,False
2023-07-23,84,False
2023-07-30,92,False
2023-08-06,50,False
2023-08-13,71,False
2023-08-20,75,False
2023-08-27,40,False
2023-09-03,71,False
2023-09-10,72,False
2023-09-17,92,False
2023-09-24,91,False
2023-10-01,65,False
2023-10-08,63,False
2023-10-15,73,False
2023-10-22,88,False
2023-10-29,53,False
2023-11-05,69,False
2023-11-12,70,False
2023-11-19,92,False
2023-11-26,66,False
2023-12-03,85,False
2023-12-10,78,False
2023-12-17,82,False
2023-12-24,47,False
2023-12-31,66,False
