Categoría: Todas las categorías

Semana,Ansiedad: (Austria)
2023-01-01,64
2023-01-08,75
2023-01-15,75
2023-01-22,75
2023-01-29,65
2023-02-05,61
2023-02-12,62
2023-02-19,75
2023-02-26,65
2023-03-05,66
2023-03-12,73
2023-03-19,73
2023-03-26,67
2023-04-02,67
2023-04-09,71
2023-04-16,78
2023-04-23,68
2023-04-30,72
2023-05-07,69
2023-05-14,69
2023-05-21,70
2023-05-28,66
2023-06-04,61
2023-06-11,67
2023-06-18,60
2023-06-25,66
2023-07-02,65
2023-07-09,60
2023-07-16,65
2023-07-23,66
2023-07-30,59
2023-08-06,62
2023-08-13,60
2023-08-20,56
2023-08-27,69
2023-09-03,69
2023-09-10,69
2023-09-17,71
2023-09-24,65
2023-10-01,69
2023-10-08,68
2023-10-15,69
2023-10-22,69
2023-10-29,63
2023-11-05,78
2023-11-12,69
2023-11-19,67
2023-11-26,67
2023-12-03,63
2023-12-10,63
2023-12-17,100
2023-12-24,66
2023-12-31,68
