Categoría: Todas las categorías

Semana,Ansiedad: (Chipre)
2023-01-01,65
2023-01-08,69
2023-01-15,57
2023-01-22,63
2023-01-29,41
2023-02-05,54
2023-02-12,49
2023-02-19,49
2023-02-26,54
2023-03-05,69
2023-03-12,42
2023-03-19,56
2023-03-26,60
2023-04-02,52
2023-04-09,70
2023-04-16,60
2023-04-23,52
2023-04-30,71
2023-05-07,51
2023-05-14,58
2023-05-21,70
2023-05-28,66
2023-06-04,48
2023-06-11,57
2023-06-18,41
2023-06-25,36
2023-07-02,45
2023-07-09,60
2023-07-16,54
2023-07-23,36
2023-07-30,57
2023-08-06,71
2023-08-13,59
2023-08-20,58
2023-08-27,61
2023-09-03,57
2023-09-10,33
2023-09-17,100
2023-09-24,59
2023-10-01,59
2023-10-08,50
2023-10-15,66
2023-10-22,58
2023-10-29,87
2023-11-05,44
2023-11-12,45
2023-11-19,54
2023-11-26,48
2023-12-03,48
2023-12-10,49
2023-12-17,55
2023-12-24,59
2023-12-31,78
