Categoría: Todas las categorías

Semana,Ansiedad: (Alemania)
2023-01-01,87
2023-01-08,92
2023-01-15,94
2023-01-22,91
2023-01-29,82
2023-02-05,80
2023-02-12,78
2023-02-19,85
2023-02-26,82
2023-03-05,86
2023-03-12,88
2023-03-19,88
2023-03-26,88
2023-04-02,82
2023-04-09,80
2023-04-16,95
2023-04-23,85
2023-04-30,86
2023-05-07,86
2023-05-14,87
2023-05-21,82
2023-05-28,82
2023-06-04,81
2023-06-11,81
2023-06-18,87
2023-06-25,84
2023-07-02,87
2023-07-09,83
2023-07-16,80
2023-07-23,83
2023-07-30,76
2023-08-06,82
2023-08-13,87
2023-08-20,95
2023-08-27,80
2023-09-03,79
2023-09-10,81
2023-09-17,80
2023-09-24,83
2023-10-01,72
2023-10-08,85
2023-10-15,79
2023-10-22,82
2023-10-29,79
2023-11-05,77
2023-11-12,80
2023-11-19,77
2023-11-26,79
2023-12-03,76
2023-12-10,74
2023-12-17,100
2023-12-24,87
2023-12-31,94
