Categoría: Todas las categorías

Semana,Ansiedad: (Estonia)
2023-01-01,66
2023-01-08,72
2023-01-15,83
2023-01-22,84
2023-01-29,61
2023-02-05,80
2023-02-12,51
2023-02-19,61
2023-02-26,45
2023-03-05,75
2023-03-12,82
2023-03-19,65
2023-03-26,57
2023-04-02,100
2023-04-09,95
2023-04-16,62
2023-04-23,70
2023-04-30,69
2023-05-07,63
2023-05-14,66
2023-05-21,68
2023-05-28,66
2023-06-04,90
2023-06-11,53
2023-06-18,33
2023-06-25,64
2023-07-02,76
2023-07-09,56
2023-07-16,68
2023-07-23,84
2023-07-30,64
2023-08-06,49
2023-08-13,60
2023-08-20,57
2023-08-27,50
2023-09-03,62
2023-09-10,72
2023-09-17,59
2023-09-24,60
2023-10-01,75
2023-10-08,57
2023-10-15,61
2023-10-22,85
2023-10-29,71
2023-11-05,74
2023-11-12,74
2023-11-19,80
2023-11-26,87
2023-12-03,72
2023-12-10,57
2023-12-17,99
2023-12-24,86
2023-12-31,55
