Categoría: Todas las categorías

Semana,Ansiedad: (España)
2023-01-01,85
2023-01-08,84
2023-01-15,89
2023-01-22,87
2023-01-29,87
2023-02-05,90
2023-02-12,94
2023-02-19,97
2023-02-26,86
2023-03-05,95
2023-03-12,96
2023-03-19,96
2023-03-26,89
2023-04-02,88
2023-04-09,99
2023-04-16,93
2023-04-23,97
2023-04-30,96
2023-05-07,98
2023-05-14,90
2023-05-21,100
2023-05-28,96
2023-06-04,89
2023-06-11,96
2023-06-18,84
2023-06-25,84
2023-07-02,79
2023-07-09,85
2023-07-16,83
2023-07-23,83
2023-07-30,87
2023-08-06,84
2023-08-13,87
2023-08-20,86
2023-08-27,83
2023-09-03,84
2023-09-10,88
2023-09-17,88
2023-09-24,94
2023-10-01,90
2023-10-08,91
2023-10-15,94
2023-10-22,85
2023-10-29,82
2023-11-05,92
2023-11-12,99
2023-11-19,93
2023-11-26,88
2023-12-03,83
2023-12-10,92
2023-12-17,70
2023-12-24,82
2023-12-31,80
