Categoría: Todas las categorías

Semana,Ansiedad: (Finlandia)
2023-01-01,87
2023-01-08,86
2023-01-15,94
2023-01-22,89
2023-01-29,85
2023-02-05,100
2023-02-12,88
2023-02-19,79
2023-02-26,94
2023-03-05,84
2023-03-12,90
2023-03-19,86
2023-03-26,89
2023-04-02,75
2023-04-09,86
2023-04-16,86
2023-04-23,88
2023-04-30,89
2023-05-07,89
2023-05-14,81
2023-05-21,82
2023-05-28,78
2023-06-04,76
2023-06-11,78
2023-06-18,66
2023-06-25,72
2023-07-02,84
2023-07-09,77
2023-07-16,75
2023-07-23,72
2023-07-30,77
2023-08-06,85
2023-08-13,92
2023-08-20,83
2023-08-27,92
2023-09-03,88
2023-09-10,85
2023-09-17,85
2023-09-24,82
2023-10-01,86
2023-10-08,74
2023-10-15,77
2023-10-22,83
2023-10-29,81
2023-11-05,94
2023-11-12,91
2023-11-19,75
2023-11-26,91
2023-12-03,73
2023-12-10,79
2023-12-17,82
2023-12-24,79
2023-12-31,77
