Categoría: Todas las categorías

Semana,Ansiedad: (Grecia)
2023-01-01,77
2023-01-08,65
2023-01-15,72
2023-01-22,65
2023-01-29,68
2023-02-05,66
2023-02-12,63
2023-02-19,60
2023-02-26,67
2023-03-05,62
2023-03-12,70
2023-03-19,63
2023-03-26,75
2023-04-02,84
2023-04-09,76
2023-04-16,77
2023-04-23,76
2023-04-30,77
2023-05-07,72
2023-05-14,83
2023-05-21,83
2023-05-28,89
2023-06-04,82
2023-06-11,63
2023-06-18,77
2023-06-25,79
2023-07-02,76
2023-07-09,84
2023-07-16,86
2023-07-23,85
2023-07-30,74
2023-08-06,100
2023-08-13,100
2023-08-20,98
2023-08-27,97
2023-09-03,80
2023-09-10,90
2023-09-17,61
2023-09-24,74
2023-10-01,77
2023-10-08,63
2023-10-15,85
2023-10-22,85
2023-10-29,66
2023-11-05,70
2023-11-12,79
2023-11-19,79
2023-11-26,79
2023-12-03,73
2023-12-10,72
2023-12-17,61
2023-12-24,65
2023-12-31,81
