Categoría: Todas las categorías

Semana,Ansiedad: (Irlanda)
2023-01-01,93
2023-01-08,98
2023-01-15,90
2023-01-22,93
2023-01-29,95
2023-02-05,90
2023-02-12,89
2023-02-19,93
2023-02-26,92
2023-03-05,93
2023-03-12,92
2023-03-19,100
2023-03-26,97
2023-04-02,94
2023-04-09,89
2023-04-16,96
2023-04-23,90
2023-04-30,91
2023-05-07,87
2023-05-14,91
2023-05-21,94
2023-05-28,80
2023-06-04,78
2023-06-11,82
2023-06-18,83
2023-06-25,82
2023-07-02,88
2023-07-09,83
2023-07-16,85
2023-07-23,82
2023-07-30,89
2023-08-06,91
2023-08-13,96
2023-08-20,83
2023-08-27,86
2023-09-03,93
2023-09-10,89
2023-09-17,91
2023-09-24,87
2023-10-01,89
2023-10-08,95
2023-10-15,96
2023-10-22,90
2023-10-29,96
2023-11-05,95
2023-11-12,94
2023-11-19,89
2023-11-26,81
2023-12-03,85
2023-12-10,94
2023-12-17,79
2023-12-24,69
2023-12-31,88
