Categoría: Todas las categorías

Semana,Ansiedad: (Italia)
2023-01-01,75
2023-01-08,82
2023-01-15,72
2023-01-22,72
2023-01-29,68
2023-02-05,66
2023-02-12,71
2023-02-19,79
2023-02-26,78
2023-03-05,71
2023-03-12,73
2023-03-19,80
2023-03-26,79
2023-04-02,68
2023-04-09,74
2023-04-16,73
2023-04-23,66
2023-04-30,78
2023-05-07,82
2023-05-14,72
2023-05-21,72
2023-05-28,77
2023-06-04,81
2023-06-11,64
2023-06-18,70
2023-06-25,74
2023-07-02,73
2023-07-09,67
2023-07-16,66
2023-07-23,76
2023-07-30,76
2023-08-06,76
2023-08-13,73
2023-08-20,72
2023-08-27,76
2023-09-03,72
2023-09-10,73
2023-09-17,69
2023-09-24,66
2023-10-01,74
2023-10-08,75
2023-10-15,76
2023-10-22,72
2023-10-29,62
2023-11-05,66
2023-11-12,69
2023-11-19,68
2023-11-26,64
2023-12-03,66
2023-12-10,74
2023-12-17,100
2023-12-24,69
2023-12-31,71
