Categoría: Todas las categorías

Semana,Ansiedad: (Lituania)
2023-01-01,100
2023-01-08,87
2023-01-15,89
2023-01-22,91
2023-01-29,69
2023-02-05,70
2023-02-12,88
2023-02-19,76
2023-02-26,53
2023-03-05,82
2023-03-12,74
2023-03-19,92
2023-03-26,85
2023-04-02,66
2023-04-09,82
2023-04-16,78
2023-04-23,84
2023-04-30,74
2023-05-07,73
2023-05-14,76
2023-05-21,66
2023-05-28,84
2023-06-04,75
2023-06-11,60
2023-06-18,78
2023-06-25,60
2023-07-02,72
2023-07-09,65
2023-07-16,69
2023-07-23,84
2023-07-30,70
2023-08-06,49
2023-08-13,69
2023-08-20,71
2023-08-27,66
2023-09-03,73
2023-09-10,81
2023-09-17,67
2023-09-24,79
2023-10-01,72
2023-10-08,55
2023-10-15,75
2023-10-22,88
2023-10-29,79
2023-11-05,92
2023-11-12,92
2023-11-19,77
2023-11-26,89
2023-12-03,81
2023-12-10,81
2023-12-17,62
2023-12-24,65
2023-12-31,95
