Categoría: Todas las categorías

Mes,Ansiedad: (Estonia)
2010-01,0
2010-02,0
2010-03,41
2010-04,0
2010-05,39
2010-06,0
2010-07,0
2010-08,36
2010-09,0
2010-10,30
2010-11,30
2010-12,0
2011-01,28
2011-02,0
2011-03,22
2011-04,21
2011-05,26
2011-06,23
2011-07,0
2011-08,21
2011-09,19
2011-10,24
2011-11,21
2011-12,35
2012-01,36
2012-02,31
2012-03,31
2012-04,20
2012-05,42
2012-06,26
2012-07,28
2012-08,27
2012-09,28
2012-10,34
2012-11,35
2012-12,44
2013-01,34
2013-02,34
2013-03,19
2013-04,32
2013-05,30
2013-06,23
2013-07,31
2013-08,32
2013-09,36
2013-10,41
2013-11,25
2013-12,34
2014-01,31
2014-02,38
2014-03,29
2014-04,31
2014-05,32
2014-06,19
2014-07,32
2014-08,36
2014-09,26
2014-10,39
2014-11,38
2014-12,37
2015-01,44
2015-02,41
2015-03,39
2015-04,39
2015-05,42
2015-06,34
2015-07,29
2015-08,23
2015-09,34
2015-10,36
2015-11,38
2015-12,39
2016-01,49
2016-02,43
2016-03,42
2016-04,52
2016-05,51
2016-06,36
2016-07,39
2016-08,38
2016-09,44
2016-10,48
2016-11,46
2016-12,56
2017-01,47
2017-02,50
2017-03,42
2017-04,52
2017-05,41
2017-06,53
2017-07,44
2017-08,40
2017-09,43
2017-10,36
2017-11,66
2017-12,43
2018-01,49
2018-02,53
2018-03,55
2018-04,56
2018-05,45
2018-06,42
2018-07,41
2018-08,50
2018-09,59
2018-10,47
2018-11,53
2018-12,52
2019-01,59
2019-02,48
2019-03,66
2019-04,65
2019-05,58
2019-06,53
2019-07,48
2019-08,64
2019-09,52
2019-10,63
2019-11,72
2019-12,62
2020-01,47
2020-02,56
2020-03,58
2020-04,62
2020-05,63
2020-06,47
2020-07,57
2020-08,77
2020-09,76
2020-10,57
2020-11,61
2020-12,65
2021-01,64
2021-02,56
2021-03,77
2021-04,70
2021-05,65
2021-06,64
2021-07,59
2021-08,64
2021-09,80
2021-10,63
2021-11,68
2021-12,73
2022-01,80
2022-02,85
2022-03,75
2022-04,84
2022-05,86
2022-06,66
2022-07,72
2022-08,73
2022-09,78
2022-10,99
2022-11,84
2022-12,77
2023-01,90
2023-02,82
2023-03,78
2023-04,100
2023-05,87
2023-06,85
2023-07,84
2023-08,72
2023-09,84
2023-10,81
2023-11,86
2023-12,90
2024-01,93
2024-02,84
2024-03,83
2024-04,89
2024-05,80
