Categoría: Todas las categorías

Mes,Ansiedad: (Francia)
2010-01,19
2010-02,21
2010-03,19
2010-04,20
2010-05,19
2010-06,21
2010-07,18
2010-08,19
2010-09,20
2010-10,18
2010-11,20
2010-12,17
2011-01,19
2011-02,19
2011-03,19
2011-04,19
2011-05,19
2011-06,19
2011-07,17
2011-08,18
2011-09,22
2011-10,21
2011-11,21
2011-12,18
2012-01,24
2012-02,20
2012-03,21
2012-04,22
2012-05,21
2012-06,19
2012-07,19
2012-08,22
2012-09,22
2012-10,22
2012-11,19
2012-12,19
2013-01,24
2013-02,22
2013-03,25
2013-04,24
2013-05,25
2013-06,24
2013-07,21
2013-08,23
2013-09,24
2013-10,24
2013-11,24
2013-12,22
2014-01,29
2014-02,26
2014-03,28
2014-04,25
2014-05,27
2014-06,26
2014-07,24
2014-08,25
2014-09,28
2014-10,26
2014-11,29
2014-12,26
2015-01,30
2015-02,30
2015-03,32
2015-04,30
2015-05,29
2015-06,30
2015-07,26
2015-08,29
2015-09,31
2015-10,30
2015-11,30
2015-12,29
2016-01,38
2016-02,42
2016-03,42
2016-04,40
2016-05,40
2016-06,36
2016-07,35
2016-08,34
2016-09,41
2016-10,38
2016-11,40
2016-12,38
2017-01,50
2017-02,52
2017-03,50
2017-04,48
2017-05,49
2017-06,46
2017-07,44
2017-08,48
2017-09,44
2017-10,43
2017-11,44
2017-12,39
2018-01,48
2018-02,51
2018-03,46
2018-04,47
2018-05,46
2018-06,44
2018-07,41
2018-08,47
2018-09,49
2018-10,48
2018-11,49
2018-12,49
2019-01,52
2019-02,51
2019-03,62
2019-04,53
2019-05,53
2019-06,52
2019-07,47
2019-08,56
2019-09,56
2019-10,51
2019-11,64
2019-12,52
2020-01,56
2020-02,51
2020-03,69
2020-04,65
2020-05,54
2020-06,58
2020-07,55
2020-08,58
2020-09,61
2020-10,49
2020-11,62
2020-12,54
2021-01,60
2021-02,62
2021-03,60
2021-04,62
2021-05,59
2021-06,57
2021-07,60
2021-08,64
2021-09,70
2021-10,65
2021-11,68
2021-12,60
2022-01,72
2022-02,75
2022-03,89
2022-04,78
2022-05,70
2022-06,73
2022-07,65
2022-08,74
2022-09,75
2022-10,91
2022-11,77
2022-12,70
2023-01,92
2023-02,85
2023-03,95
2023-04,93
2023-05,90
2023-06,81
2023-07,75
2023-08,77
2023-09,93
2023-10,91
2023-11,100
2023-12,82
2024-01,94
2024-02,88
2024-03,89
2024-04,79
2024-05,88
