Categoría: Todas las categorías

Mes,Ansiedad: (Irlanda)
2010-01,26
2010-02,28
2010-03,27
2010-04,30
2010-05,25
2010-06,22
2010-07,23
2010-08,26
2010-09,32
2010-10,30
2010-11,29
2010-12,26
2011-01,35
2011-02,27
2011-03,30
2011-04,33
2011-05,31
2011-06,27
2011-07,30
2011-08,31
2011-09,36
2011-10,34
2011-11,36
2011-12,30
2012-01,34
2012-02,34
2012-03,35
2012-04,36
2012-05,34
2012-06,34
2012-07,33
2012-08,38
2012-09,36
2012-10,35
2012-11,39
2012-12,35
2013-01,41
2013-02,40
2013-03,41
2013-04,44
2013-05,43
2013-06,39
2013-07,42
2013-08,41
2013-09,46
2013-10,45
2013-11,51
2013-12,44
2014-01,48
2014-02,46
2014-03,49
2014-04,43
2014-05,44
2014-06,40
2014-07,37
2014-08,45
2014-09,46
2014-10,48
2014-11,49
2014-12,45
2015-01,48
2015-02,52
2015-03,50
2015-04,51
2015-05,53
2015-06,52
2015-07,53
2015-08,59
2015-09,67
2015-10,67
2015-11,67
2015-12,64
2016-01,68
2016-02,65
2016-03,67
2016-04,82
2016-05,67
2016-06,58
2016-07,59
2016-08,63
2016-09,72
2016-10,74
2016-11,79
2016-12,79
2017-01,87
2017-02,81
2017-03,86
2017-04,86
2017-05,86
2017-06,71
2017-07,68
2017-08,77
2017-09,85
2017-10,93
2017-11,83
2017-12,80
2018-01,88
2018-02,79
2018-03,78
2018-04,82
2018-05,80
2018-06,73
2018-07,74
2018-08,81
2018-09,82
2018-10,92
2018-11,86
2018-12,84
2019-01,89
2019-02,87
2019-03,89
2019-04,84
2019-05,85
2019-06,78
2019-07,78
2019-08,81
2019-09,88
2019-10,84
2019-11,88
2019-12,77
2020-01,86
2020-02,82
2020-03,76
2020-04,78
2020-05,79
2020-06,100
2020-07,90
2020-08,87
2020-09,86
2020-10,81
2020-11,92
2020-12,84
2021-01,92
2021-02,90
2021-03,90
2021-04,95
2021-05,95
2021-06,86
2021-07,78
2021-08,90
2021-09,92
2021-10,93
2021-11,84
2021-12,79
2022-01,88
2022-02,87
2022-03,84
2022-04,83
2022-05,71
2022-06,77
2022-07,74
2022-08,80
2022-09,83
2022-10,86
2022-11,85
2022-12,75
2023-01,89
2023-02,86
2023-03,89
2023-04,85
2023-05,85
2023-06,75
2023-07,80
2023-08,84
2023-09,84
2023-10,86
2023-11,85
2023-12,76
2024-01,79
2024-02,77
2024-03,79
2024-04,83
2024-05,76
