Categoría: Todas las categorías

Mes,Ansiedad: (Luxemburgo)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,36
2010-12,0
2011-01,40
2011-02,0
2011-03,0
2011-04,40
2011-05,0
2011-06,35
2011-07,0
2011-08,0
2011-09,0
2011-10,30
2011-11,0
2011-12,25
2012-01,0
2012-02,28
2012-03,0
2012-04,27
2012-05,27
2012-06,0
2012-07,0
2012-08,37
2012-09,23
2012-10,29
2012-11,34
2012-12,26
2013-01,50
2013-02,30
2013-03,18
2013-04,22
2013-05,42
2013-06,35
2013-07,0
2013-08,33
2013-09,47
2013-10,25
2013-11,23
2013-12,26
2014-01,23
2014-02,28
2014-03,32
2014-04,30
2014-05,46
2014-06,39
2014-07,0
2014-08,0
2014-09,40
2014-10,28
2014-11,31
2014-12,22
2015-01,38
2015-02,34
2015-03,39
2015-04,27
2015-05,27
2015-06,0
2015-07,27
2015-08,43
2015-09,34
2015-10,43
2015-11,38
2015-12,44
2016-01,35
2016-02,39
2016-03,36
2016-04,45
2016-05,0
2016-06,32
2016-07,40
2016-08,44
2016-09,38
2016-10,54
2016-11,44
2016-12,49
2017-01,49
2017-02,50
2017-03,54
2017-04,40
2017-05,35
2017-06,51
2017-07,49
2017-08,50
2017-09,52
2017-10,41
2017-11,50
2017-12,47
2018-01,54
2018-02,67
2018-03,51
2018-04,45
2018-05,54
2018-06,42
2018-07,53
2018-08,47
2018-09,57
2018-10,46
2018-11,58
2018-12,64
2019-01,50
2019-02,49
2019-03,75
2019-04,54
2019-05,57
2019-06,48
2019-07,47
2019-08,58
2019-09,60
2019-10,46
2019-11,59
2019-12,55
2020-01,53
2020-02,51
2020-03,85
2020-04,70
2020-05,85
2020-06,65
2020-07,71
2020-08,54
2020-09,72
2020-10,50
2020-11,71
2020-12,78
2021-01,66
2021-02,74
2021-03,68
2021-04,100
2021-05,76
2021-06,62
2021-07,58
2021-08,67
2021-09,71
2021-10,72
2021-11,68
2021-12,73
2022-01,74
2022-02,72
2022-03,90
2022-04,70
2022-05,79
2022-06,76
2022-07,63
2022-08,81
2022-09,74
2022-10,76
2022-11,80
2022-12,59
2023-01,90
2023-02,61
2023-03,76
2023-04,65
2023-05,78
2023-06,72
2023-07,83
2023-08,67
2023-09,81
2023-10,68
2023-11,54
2023-12,68
2024-01,70
2024-02,77
2024-03,64
2024-04,78
2024-05,76
