Categoría: Todas las categorías

Mes,Ansiedad: (Eslovaquia)
2010-01,27
2010-02,30
2010-03,25
2010-04,37
2010-05,19
2010-06,23
2010-07,0
2010-08,18
2010-09,21
2010-10,20
2010-11,32
2010-12,26
2011-01,29
2011-02,17
2011-03,22
2011-04,26
2011-05,28
2011-06,22
2011-07,24
2011-08,26
2011-09,23
2011-10,27
2011-11,19
2011-12,22
2012-01,26
2012-02,26
2012-03,25
2012-04,28
2012-05,22
2012-06,38
2012-07,28
2012-08,29
2012-09,23
2012-10,30
2012-11,25
2012-12,24
2013-01,33
2013-02,35
2013-03,28
2013-04,36
2013-05,27
2013-06,32
2013-07,32
2013-08,30
2013-09,26
2013-10,33
2013-11,31
2013-12,29
2014-01,35
2014-02,32
2014-03,40
2014-04,28
2014-05,32
2014-06,33
2014-07,30
2014-08,34
2014-09,36
2014-10,38
2014-11,36
2014-12,31
2015-01,40
2015-02,42
2015-03,42
2015-04,42
2015-05,44
2015-06,35
2015-07,36
2015-08,37
2015-09,38
2015-10,38
2015-11,38
2015-12,42
2016-01,46
2016-02,43
2016-03,47
2016-04,37
2016-05,41
2016-06,34
2016-07,42
2016-08,45
2016-09,41
2016-10,38
2016-11,43
2016-12,42
2017-01,54
2017-02,49
2017-03,48
2017-04,48
2017-05,49
2017-06,44
2017-07,49
2017-08,46
2017-09,42
2017-10,45
2017-11,52
2017-12,49
2018-01,54
2018-02,55
2018-03,49
2018-04,54
2018-05,58
2018-06,49
2018-07,47
2018-08,51
2018-09,54
2018-10,48
2018-11,49
2018-12,57
2019-01,58
2019-02,54
2019-03,55
2019-04,60
2019-05,54
2019-06,58
2019-07,59
2019-08,67
2019-09,49
2019-10,65
2019-11,53
2019-12,55
2020-01,60
2020-02,57
2020-03,53
2020-04,62
2020-05,60
2020-06,61
2020-07,53
2020-08,58
2020-09,66
2020-10,56
2020-11,61
2020-12,62
2021-01,73
2021-02,64
2021-03,66
2021-04,78
2021-05,65
2021-06,66
2021-07,63
2021-08,73
2021-09,64
2021-10,77
2021-11,65
2021-12,70
2022-01,82
2022-02,81
2022-03,87
2022-04,88
2022-05,85
2022-06,69
2022-07,73
2022-08,79
2022-09,77
2022-10,85
2022-11,80
2022-12,87
2023-01,84
2023-02,86
2023-03,97
2023-04,91
2023-05,86
2023-06,79
2023-07,88
2023-08,89
2023-09,86
2023-10,89
2023-11,87
2023-12,81
2024-01,100
2024-02,93
2024-03,97
2024-04,88
2024-05,84
