Categoría: Todas las categorías

Mes,Depresión: (Bélgica)
2010-01,71
2010-02,67
2010-03,65
2010-04,64
2010-05,75
2010-06,66
2010-07,55
2010-08,57
2010-09,62
2010-10,78
2010-11,77
2010-12,59
2011-01,71
2011-02,72
2011-03,67
2011-04,60
2011-05,71
2011-06,62
2011-07,66
2011-08,73
2011-09,61
2011-10,62
2011-11,78
2011-12,67
2012-01,71
2012-02,68
2012-03,64
2012-04,67
2012-05,71
2012-06,68
2012-07,68
2012-08,65
2012-09,69
2012-10,72
2012-11,75
2012-12,70
2013-01,70
2013-02,69
2013-03,76
2013-04,69
2013-05,77
2013-06,70
2013-07,60
2013-08,62
2013-09,64
2013-10,75
2013-11,77
2013-12,83
2014-01,82
2014-02,81
2014-03,81
2014-04,82
2014-05,72
2014-06,77
2014-07,67
2014-08,80
2014-09,76
2014-10,77
2014-11,90
2014-12,82
2015-01,89
2015-02,80
2015-03,81
2015-04,85
2015-05,88
2015-06,80
2015-07,79
2015-08,82
2015-09,81
2015-10,85
2015-11,94
2015-12,100
2016-01,94
2016-02,88
2016-03,92
2016-04,90
2016-05,92
2016-06,77
2016-07,79
2016-08,82
2016-09,86
2016-10,86
2016-11,48
2016-12,42
2017-01,48
2017-02,42
2017-03,41
2017-04,40
2017-05,48
2017-06,40
2017-07,39
2017-08,46
2017-09,43
2017-10,52
2017-11,46
2017-12,41
2018-01,50
2018-02,46
2018-03,69
2018-04,61
2018-05,66
2018-06,66
2018-07,59
2018-08,60
2018-09,68
2018-10,63
2018-11,66
2018-12,72
2019-01,79
2019-02,71
2019-03,69
2019-04,70
2019-05,65
2019-06,65
2019-07,69
2019-08,51
2019-09,47
2019-10,53
2019-11,53
2019-12,53
2020-01,46
2020-02,48
2020-03,37
2020-04,46
2020-05,50
2020-06,48
2020-07,42
2020-08,41
2020-09,48
2020-10,47
2020-11,65
2020-12,49
2021-01,56
2021-02,55
2021-03,51
2021-04,50
2021-05,54
2021-06,57
2021-07,47
2021-08,55
2021-09,54
2021-10,55
2021-11,55
2021-12,57
2022-01,67
2022-02,60
2022-03,61
2022-04,60
2022-05,57
2022-06,58
2022-07,57
2022-08,59
2022-09,59
2022-10,69
2022-11,70
2022-12,58
2023-01,65
2023-02,59
2023-03,96
2023-04,81
2023-05,81
2023-06,70
2023-07,69
2023-08,89
2023-09,73
2023-10,82
2023-11,83
2023-12,73
2024-01,88
2024-02,88
2024-03,79
2024-04,86
2024-05,82
