Categoría: Todas las categorías

Mes,Depresión: (Estonia)
2010-01,46
2010-02,43
2010-03,47
2010-04,40
2010-05,33
2010-06,52
2010-07,31
2010-08,27
2010-09,34
2010-10,49
2010-11,50
2010-12,30
2011-01,40
2011-02,51
2011-03,40
2011-04,31
2011-05,44
2011-06,33
2011-07,42
2011-08,29
2011-09,39
2011-10,47
2011-11,48
2011-12,31
2012-01,50
2012-02,46
2012-03,41
2012-04,45
2012-05,28
2012-06,33
2012-07,32
2012-08,35
2012-09,35
2012-10,42
2012-11,44
2012-12,43
2013-01,43
2013-02,51
2013-03,42
2013-04,39
2013-05,36
2013-06,45
2013-07,33
2013-08,39
2013-09,40
2013-10,38
2013-11,36
2013-12,43
2014-01,37
2014-02,38
2014-03,35
2014-04,48
2014-05,42
2014-06,34
2014-07,30
2014-08,43
2014-09,49
2014-10,43
2014-11,41
2014-12,51
2015-01,45
2015-02,42
2015-03,37
2015-04,48
2015-05,48
2015-06,41
2015-07,35
2015-08,33
2015-09,32
2015-10,47
2015-11,46
2015-12,45
2016-01,48
2016-02,57
2016-03,50
2016-04,50
2016-05,44
2016-06,33
2016-07,37
2016-08,47
2016-09,55
2016-10,51
2016-11,66
2016-12,60
2017-01,72
2017-02,69
2017-03,69
2017-04,68
2017-05,59
2017-06,57
2017-07,57
2017-08,63
2017-09,74
2017-10,79
2017-11,78
2017-12,62
2018-01,67
2018-02,67
2018-03,100
2018-04,92
2018-05,78
2018-06,59
2018-07,59
2018-08,65
2018-09,48
2018-10,49
2018-11,54
2018-12,57
2019-01,55
2019-02,44
2019-03,49
2019-04,48
2019-05,46
2019-06,42
2019-07,40
2019-08,34
2019-09,44
2019-10,42
2019-11,55
2019-12,61
2020-01,47
2020-02,41
2020-03,39
2020-04,43
2020-05,42
2020-06,34
2020-07,39
2020-08,40
2020-09,44
2020-10,44
2020-11,46
2020-12,45
2021-01,49
2021-02,52
2021-03,57
2021-04,53
2021-05,55
2021-06,46
2021-07,38
2021-08,40
2021-09,43
2021-10,32
2021-11,52
2021-12,40
2022-01,43
2022-02,36
2022-03,44
2022-04,47
2022-05,40
2022-06,38
2022-07,39
2022-08,41
2022-09,35
2022-10,60
2022-11,63
2022-12,59
2023-01,67
2023-02,58
2023-03,67
2023-04,68
2023-05,50
2023-06,54
2023-07,54
2023-08,55
2023-09,55
2023-10,58
2023-11,66
2023-12,58
2024-01,58
2024-02,62
2024-03,64
2024-04,65
2024-05,55
