Categoría: Todas las categorías

Mes,Depresión: (Finlandia)
2010-01,20
2010-02,19
2010-03,22
2010-04,29
2010-05,17
2010-06,16
2010-07,20
2010-08,21
2010-09,22
2010-10,22
2010-11,23
2010-12,19
2011-01,26
2011-02,26
2011-03,24
2011-04,22
2011-05,28
2011-06,16
2011-07,20
2011-08,21
2011-09,23
2011-10,29
2011-11,30
2011-12,21
2012-01,26
2012-02,27
2012-03,28
2012-04,22
2012-05,23
2012-06,23
2012-07,23
2012-08,24
2012-09,26
2012-10,28
2012-11,31
2012-12,33
2013-01,35
2013-02,29
2013-03,32
2013-04,33
2013-05,28
2013-06,26
2013-07,27
2013-08,27
2013-09,31
2013-10,32
2013-11,41
2013-12,36
2014-01,35
2014-02,37
2014-03,34
2014-04,33
2014-05,34
2014-06,31
2014-07,27
2014-08,42
2014-09,38
2014-10,41
2014-11,49
2014-12,37
2015-01,42
2015-02,42
2015-03,43
2015-04,37
2015-05,39
2015-06,39
2015-07,40
2015-08,38
2015-09,41
2015-10,43
2015-11,39
2015-12,41
2016-01,47
2016-02,44
2016-03,47
2016-04,47
2016-05,40
2016-06,39
2016-07,36
2016-08,39
2016-09,48
2016-10,56
2016-11,32
2016-12,28
2017-01,36
2017-02,33
2017-03,33
2017-04,30
2017-05,34
2017-06,27
2017-07,44
2017-08,45
2017-09,41
2017-10,47
2017-11,29
2017-12,30
2018-01,33
2018-02,31
2018-03,54
2018-04,45
2018-05,42
2018-06,46
2018-07,47
2018-08,46
2018-09,49
2018-10,59
2018-11,54
2018-12,51
2019-01,53
2019-02,53
2019-03,49
2019-04,48
2019-05,43
2019-06,45
2019-07,45
2019-08,44
2019-09,48
2019-10,40
2019-11,42
2019-12,38
2020-01,37
2020-02,33
2020-03,28
2020-04,32
2020-05,38
2020-06,33
2020-07,37
2020-08,36
2020-09,38
2020-10,39
2020-11,38
2020-12,39
2021-01,40
2021-02,37
2021-03,37
2021-04,36
2021-05,41
2021-06,38
2021-07,34
2021-08,37
2021-09,42
2021-10,39
2021-11,37
2021-12,40
2022-01,46
2022-02,47
2022-03,50
2022-04,45
2022-05,37
2022-06,40
2022-07,42
2022-08,46
2022-09,42
2022-10,52
2022-11,58
2022-12,50
2023-01,55
2023-02,47
2023-03,99
2023-04,79
2023-05,75
2023-06,67
2023-07,56
2023-08,100
2023-09,80
2023-10,64
2023-11,60
2023-12,62
2024-01,74
2024-02,90
2024-03,83
2024-04,88
2024-05,63
