Categoría: Todas las categorías

Mes,Depresión: (Italia)
2010-01,23
2010-02,30
2010-03,26
2010-04,24
2010-05,29
2010-06,29
2010-07,28
2010-08,32
2010-09,26
2010-10,25
2010-11,22
2010-12,25
2011-01,25
2011-02,30
2011-03,24
2011-04,25
2011-05,30
2011-06,27
2011-07,30
2011-08,30
2011-09,31
2011-10,26
2011-11,32
2011-12,28
2012-01,28
2012-02,27
2012-03,30
2012-04,30
2012-05,29
2012-06,30
2012-07,29
2012-08,29
2012-09,27
2012-10,25
2012-11,28
2012-12,26
2013-01,27
2013-02,26
2013-03,27
2013-04,28
2013-05,30
2013-06,26
2013-07,27
2013-08,29
2013-09,25
2013-10,25
2013-11,25
2013-12,26
2014-01,28
2014-02,26
2014-03,26
2014-04,26
2014-05,29
2014-06,25
2014-07,27
2014-08,38
2014-09,29
2014-10,28
2014-11,29
2014-12,28
2015-01,29
2015-02,28
2015-03,31
2015-04,33
2015-05,27
2015-06,28
2015-07,29
2015-08,29
2015-09,28
2015-10,25
2015-11,27
2015-12,28
2016-01,29
2016-02,28
2016-03,27
2016-04,27
2016-05,27
2016-06,29
2016-07,26
2016-08,25
2016-09,28
2016-10,28
2016-11,13
2016-12,11
2017-01,9
2017-02,10
2017-03,10
2017-04,9
2017-05,10
2017-06,9
2017-07,10
2017-08,12
2017-09,9
2017-10,10
2017-11,10
2017-12,10
2018-01,10
2018-02,10
2018-03,14
2018-04,13
2018-05,13
2018-06,14
2018-07,14
2018-08,12
2018-09,13
2018-10,12
2018-11,16
2018-12,16
2019-01,16
2019-02,17
2019-03,16
2019-04,16
2019-05,17
2019-06,16
2019-07,19
2019-08,15
2019-09,12
2019-10,12
2019-11,12
2019-12,11
2020-01,11
2020-02,9
2020-03,9
2020-04,10
2020-05,10
2020-06,10
2020-07,10
2020-08,11
2020-09,9
2020-10,9
2020-11,10
2020-12,9
2021-01,12
2021-02,12
2021-03,12
2021-04,24
2021-05,24
2021-06,25
2021-07,25
2021-08,31
2021-09,32
2021-10,23
2021-11,25
2021-12,24
2022-01,27
2022-02,30
2022-03,29
2022-04,28
2022-05,27
2022-06,27
2022-07,32
2022-08,33
2022-09,29
2022-10,72
2022-11,53
2022-12,48
2023-01,47
2023-02,42
2023-03,100
2023-04,100
2023-05,97
2023-06,95
2023-07,92
2023-08,93
2023-09,86
2023-10,89
2023-11,89
2023-12,88
2024-01,96
2024-02,86
2024-03,90
2024-04,93
2024-05,88
