Categoría: Todas las categorías

Mes,Depresión: (Lituania)
2010-01,61
2010-02,55
2010-03,70
2010-04,58
2010-05,63
2010-06,52
2010-07,55
2010-08,50
2010-09,57
2010-10,49
2010-11,67
2010-12,50
2011-01,69
2011-02,61
2011-03,60
2011-04,68
2011-05,60
2011-06,54
2011-07,59
2011-08,56
2011-09,57
2011-10,52
2011-11,67
2011-12,57
2012-01,56
2012-02,55
2012-03,62
2012-04,54
2012-05,59
2012-06,53
2012-07,45
2012-08,52
2012-09,57
2012-10,58
2012-11,53
2012-12,53
2013-01,65
2013-02,52
2013-03,57
2013-04,63
2013-05,51
2013-06,52
2013-07,45
2013-08,57
2013-09,50
2013-10,68
2013-11,70
2013-12,64
2014-01,59
2014-02,59
2014-03,53
2014-04,63
2014-05,56
2014-06,62
2014-07,57
2014-08,56
2014-09,51
2014-10,62
2014-11,62
2014-12,59
2015-01,61
2015-02,63
2015-03,63
2015-04,73
2015-05,72
2015-06,67
2015-07,71
2015-08,60
2015-09,64
2015-10,78
2015-11,70
2015-12,64
2016-01,69
2016-02,66
2016-03,79
2016-04,71
2016-05,61
2016-06,59
2016-07,76
2016-08,59
2016-09,65
2016-10,72
2016-11,79
2016-12,72
2017-01,68
2017-02,61
2017-03,76
2017-04,87
2017-05,77
2017-06,71
2017-07,75
2017-08,77
2017-09,59
2017-10,80
2017-11,71
2017-12,60
2018-01,73
2018-02,73
2018-03,87
2018-04,77
2018-05,77
2018-06,90
2018-07,76
2018-08,74
2018-09,75
2018-10,78
2018-11,97
2018-12,78
2019-01,100
2019-02,85
2019-03,98
2019-04,87
2019-05,72
2019-06,88
2019-07,76
2019-08,73
2019-09,74
2019-10,84
2019-11,87
2019-12,81
2020-01,84
2020-02,76
2020-03,60
2020-04,66
2020-05,67
2020-06,67
2020-07,74
2020-08,69
2020-09,63
2020-10,82
2020-11,83
2020-12,75
2021-01,80
2021-02,75
2021-03,84
2021-04,70
2021-05,61
2021-06,51
2021-07,54
2021-08,46
2021-09,52
2021-10,57
2021-11,61
2021-12,46
2022-01,52
2022-02,61
2022-03,63
2022-04,48
2022-05,52
2022-06,52
2022-07,60
2022-08,65
2022-09,73
2022-10,76
2022-11,79
2022-12,65
2023-01,83
2023-02,67
2023-03,71
2023-04,74
2023-05,66
2023-06,68
2023-07,61
2023-08,64
2023-09,69
2023-10,73
2023-11,80
2023-12,62
2024-01,71
2024-02,71
2024-03,74
2024-04,79
2024-05,70
