Categoría: Todas las categorías

Mes,Depresión: (Letonia)
2010-01,54
2010-02,23
2010-03,42
2010-04,33
2010-05,42
2010-06,64
2010-07,31
2010-08,24
2010-09,56
2010-10,47
2010-11,31
2010-12,52
2011-01,48
2011-02,37
2011-03,47
2011-04,48
2011-05,44
2011-06,35
2011-07,43
2011-08,46
2011-09,48
2011-10,34
2011-11,36
2011-12,41
2012-01,56
2012-02,37
2012-03,35
2012-04,51
2012-05,49
2012-06,36
2012-07,42
2012-08,36
2012-09,37
2012-10,59
2012-11,50
2012-12,59
2013-01,50
2013-02,44
2013-03,43
2013-04,66
2013-05,53
2013-06,41
2013-07,55
2013-08,56
2013-09,43
2013-10,48
2013-11,45
2013-12,43
2014-01,38
2014-02,51
2014-03,46
2014-04,46
2014-05,46
2014-06,38
2014-07,46
2014-08,51
2014-09,49
2014-10,53
2014-11,42
2014-12,39
2015-01,57
2015-02,49
2015-03,47
2015-04,52
2015-05,39
2015-06,51
2015-07,33
2015-08,37
2015-09,65
2015-10,64
2015-11,59
2015-12,55
2016-01,54
2016-02,54
2016-03,58
2016-04,51
2016-05,50
2016-06,38
2016-07,45
2016-08,53
2016-09,43
2016-10,57
2016-11,35
2016-12,42
2017-01,30
2017-02,33
2017-03,34
2017-04,35
2017-05,38
2017-06,35
2017-07,25
2017-08,35
2017-09,38
2017-10,45
2017-11,44
2017-12,38
2018-01,34
2018-02,42
2018-03,43
2018-04,49
2018-05,39
2018-06,46
2018-07,36
2018-08,43
2018-09,42
2018-10,49
2018-11,47
2018-12,46
2019-01,41
2019-02,48
2019-03,39
2019-04,43
2019-05,44
2019-06,44
2019-07,51
2019-08,45
2019-09,44
2019-10,40
2019-11,53
2019-12,46
2020-01,66
2020-02,57
2020-03,50
2020-04,44
2020-05,60
2020-06,57
2020-07,52
2020-08,54
2020-09,73
2020-10,65
2020-11,59
2020-12,61
2021-01,68
2021-02,64
2021-03,62
2021-04,65
2021-05,70
2021-06,51
2021-07,59
2021-08,55
2021-09,68
2021-10,57
2021-11,67
2021-12,56
2022-01,69
2022-02,64
2022-03,65
2022-04,71
2022-05,66
2022-06,60
2022-07,59
2022-08,45
2022-09,56
2022-10,63
2022-11,70
2022-12,63
2023-01,94
2023-02,67
2023-03,72
2023-04,67
2023-05,55
2023-06,76
2023-07,69
2023-08,65
2023-09,74
2023-10,76
2023-11,100
2023-12,77
2024-01,79
2024-02,73
2024-03,81
2024-04,76
2024-05,68
