Categoría: Todas las categorías

Mes,Depresión: (Países Bajos)
2010-01,41
2010-02,40
2010-03,43
2010-04,39
2010-05,41
2010-06,37
2010-07,38
2010-08,40
2010-09,31
2010-10,46
2010-11,40
2010-12,40
2011-01,39
2011-02,38
2011-03,40
2011-04,36
2011-05,40
2011-06,38
2011-07,33
2011-08,35
2011-09,35
2011-10,41
2011-11,45
2011-12,39
2012-01,40
2012-02,40
2012-03,42
2012-04,43
2012-05,41
2012-06,40
2012-07,34
2012-08,40
2012-09,40
2012-10,46
2012-11,41
2012-12,41
2013-01,48
2013-02,45
2013-03,45
2013-04,44
2013-05,45
2013-06,44
2013-07,43
2013-08,44
2013-09,49
2013-10,48
2013-11,52
2013-12,46
2014-01,52
2014-02,53
2014-03,49
2014-04,50
2014-05,56
2014-06,51
2014-07,51
2014-08,65
2014-09,57
2014-10,65
2014-11,63
2014-12,55
2015-01,62
2015-02,65
2015-03,60
2015-04,63
2015-05,59
2015-06,58
2015-07,52
2015-08,50
2015-09,61
2015-10,61
2015-11,65
2015-12,63
2016-01,66
2016-02,61
2016-03,66
2016-04,64
2016-05,61
2016-06,52
2016-07,52
2016-08,55
2016-09,69
2016-10,68
2016-11,54
2016-12,48
2017-01,48
2017-02,49
2017-03,49
2017-04,50
2017-05,51
2017-06,49
2017-07,44
2017-08,47
2017-09,46
2017-10,55
2017-11,53
2017-12,53
2018-01,57
2018-02,53
2018-03,75
2018-04,79
2018-05,84
2018-06,85
2018-07,69
2018-08,68
2018-09,71
2018-10,82
2018-11,78
2018-12,72
2019-01,78
2019-02,76
2019-03,78
2019-04,71
2019-05,76
2019-06,65
2019-07,66
2019-08,53
2019-09,50
2019-10,56
2019-11,51
2019-12,50
2020-01,52
2020-02,52
2020-03,38
2020-04,44
2020-05,46
2020-06,45
2020-07,49
2020-08,45
2020-09,51
2020-10,52
2020-11,53
2020-12,46
2021-01,55
2021-02,57
2021-03,54
2021-04,53
2021-05,55
2021-06,51
2021-07,49
2021-08,44
2021-09,55
2021-10,58
2021-11,56
2021-12,56
2022-01,67
2022-02,66
2022-03,71
2022-04,64
2022-05,57
2022-06,65
2022-07,59
2022-08,62
2022-09,63
2022-10,74
2022-11,72
2022-12,70
2023-01,78
2023-02,70
2023-03,100
2023-04,85
2023-05,91
2023-06,87
2023-07,74
2023-08,74
2023-09,77
2023-10,83
2023-11,83
2023-12,76
2024-01,82
2024-02,87
2024-03,86
2024-04,85
2024-05,82
