Categoría: Todas las categorías

Mes,Depresión: (Eslovaquia)
2010-01,23
2010-02,24
2010-03,20
2010-04,0
2010-05,0
2010-06,19
2010-07,24
2010-08,0
2010-09,31
2010-10,18
2010-11,16
2010-12,19
2011-01,19
2011-02,19
2011-03,25
2011-04,19
2011-05,27
2011-06,18
2011-07,30
2011-08,29
2011-09,22
2011-10,22
2011-11,19
2011-12,22
2012-01,23
2012-02,19
2012-03,16
2012-04,23
2012-05,12
2012-06,28
2012-07,22
2012-08,20
2012-09,24
2012-10,22
2012-11,24
2012-12,23
2013-01,28
2013-02,23
2013-03,24
2013-04,26
2013-05,25
2013-06,21
2013-07,22
2013-08,28
2013-09,23
2013-10,27
2013-11,24
2013-12,20
2014-01,28
2014-02,25
2014-03,26
2014-04,27
2014-05,30
2014-06,25
2014-07,28
2014-08,31
2014-09,29
2014-10,27
2014-11,34
2014-12,24
2015-01,27
2015-02,26
2015-03,28
2015-04,26
2015-05,21
2015-06,30
2015-07,30
2015-08,30
2015-09,28
2015-10,27
2015-11,27
2015-12,29
2016-01,26
2016-02,25
2016-03,24
2016-04,28
2016-05,33
2016-06,30
2016-07,29
2016-08,30
2016-09,35
2016-10,31
2016-11,33
2016-12,35
2017-01,30
2017-02,30
2017-03,28
2017-04,33
2017-05,27
2017-06,20
2017-07,28
2017-08,32
2017-09,30
2017-10,31
2017-11,32
2017-12,30
2018-01,33
2018-02,32
2018-03,35
2018-04,39
2018-05,38
2018-06,38
2018-07,27
2018-08,38
2018-09,41
2018-10,40
2018-11,38
2018-12,45
2019-01,44
2019-02,56
2019-03,47
2019-04,33
2019-05,43
2019-06,36
2019-07,46
2019-08,37
2019-09,38
2019-10,42
2019-11,35
2019-12,36
2020-01,35
2020-02,36
2020-03,30
2020-04,36
2020-05,38
2020-06,35
2020-07,34
2020-08,38
2020-09,33
2020-10,39
2020-11,36
2020-12,33
2021-01,42
2021-02,37
2021-03,34
2021-04,39
2021-05,38
2021-06,37
2021-07,41
2021-08,31
2021-09,44
2021-10,47
2021-11,40
2021-12,39
2022-01,51
2022-02,42
2022-03,55
2022-04,44
2022-05,45
2022-06,41
2022-07,46
2022-08,45
2022-09,43
2022-10,59
2022-11,63
2022-12,49
2023-01,56
2023-02,54
2023-03,100
2023-04,94
2023-05,83
2023-06,84
2023-07,73
2023-08,48
2023-09,48
2023-10,45
2023-11,38
2023-12,49
2024-01,50
2024-02,63
2024-03,53
2024-04,56
2024-05,52
