Categoría: Todas las categorías

Mes,Psicoterapia: (Estonia)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,73
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,55
2011-11,100
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,55
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,47
2012-11,50
2012-12,0
2013-01,0
2013-02,0
2013-03,43
2013-04,41
2013-05,0
2013-06,0
2013-07,40
2013-08,0
2013-09,0
2013-10,37
2013-11,0
2013-12,42
2014-01,56
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,31
2014-11,42
2014-12,55
2015-01,49
2015-02,40
2015-03,0
2015-04,0
2015-05,31
2015-06,34
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,35
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,45
2016-12,34
2017-01,34
2017-02,0
2017-03,44
2017-04,0
2017-05,51
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,42
2018-11,33
2018-12,0
2019-01,65
2019-02,0
2019-03,0
2019-04,0
2019-05,30
2019-06,0
2019-07,0
2019-08,0
2019-09,28
2019-10,32
2019-11,0
2019-12,35
2020-01,30
2020-02,0
2020-03,26
2020-04,0
2020-05,0
2020-06,31
2020-07,0
2020-08,29
2020-09,33
2020-10,48
2020-11,0
2020-12,34
2021-01,35
2021-02,0
2021-03,34
2021-04,27
2021-05,36
2021-06,30
2021-07,0
2021-08,36
2021-09,57
2021-10,0
2021-11,58
2021-12,40
2022-01,40
2022-02,49
2022-03,39
2022-04,32
2022-05,34
2022-06,31
2022-07,0
2022-08,38
2022-09,31
2022-10,38
2022-11,22
2022-12,35
2023-01,32
2023-02,40
2023-03,23
2023-04,28
2023-05,39
2023-06,31
2023-07,37
2023-08,46
2023-09,34
2023-10,38
2023-11,27
2023-12,23
2024-01,0
2024-02,22
2024-03,39
2024-04,31
2024-05,15
