Categoría: Todas las categorías

Mes,Psicoterapia: (Finlandia)
2010-01,26
2010-02,33
2010-03,34
2010-04,28
2010-05,33
2010-06,29
2010-07,19
2010-08,34
2010-09,38
2010-10,37
2010-11,31
2010-12,26
2011-01,35
2011-02,39
2011-03,39
2011-04,34
2011-05,27
2011-06,23
2011-07,17
2011-08,37
2011-09,37
2011-10,32
2011-11,35
2011-12,28
2012-01,34
2012-02,29
2012-03,34
2012-04,30
2012-05,32
2012-06,24
2012-07,22
2012-08,34
2012-09,32
2012-10,35
2012-11,34
2012-12,27
2013-01,39
2013-02,40
2013-03,29
2013-04,32
2013-05,33
2013-06,24
2013-07,23
2013-08,30
2013-09,32
2013-10,34
2013-11,35
2013-12,28
2014-01,38
2014-02,34
2014-03,33
2014-04,28
2014-05,30
2014-06,26
2014-07,20
2014-08,30
2014-09,37
2014-10,37
2014-11,40
2014-12,33
2015-01,44
2015-02,41
2015-03,40
2015-04,38
2015-05,33
2015-06,34
2015-07,26
2015-08,32
2015-09,35
2015-10,41
2015-11,45
2015-12,34
2016-01,44
2016-02,44
2016-03,40
2016-04,46
2016-05,44
2016-06,34
2016-07,26
2016-08,39
2016-09,42
2016-10,45
2016-11,33
2016-12,29
2017-01,40
2017-02,40
2017-03,39
2017-04,36
2017-05,42
2017-06,29
2017-07,25
2017-08,33
2017-09,35
2017-10,34
2017-11,38
2017-12,28
2018-01,41
2018-02,40
2018-03,34
2018-04,41
2018-05,29
2018-06,36
2018-07,26
2018-08,38
2018-09,46
2018-10,41
2018-11,60
2018-12,44
2019-01,58
2019-02,57
2019-03,59
2019-04,55
2019-05,52
2019-06,47
2019-07,42
2019-08,52
2019-09,58
2019-10,58
2019-11,56
2019-12,46
2020-01,61
2020-02,67
2020-03,48
2020-04,49
2020-05,55
2020-06,51
2020-07,47
2020-08,61
2020-09,69
2020-10,100
2020-11,66
2020-12,55
2021-01,69
2021-02,73
2021-03,69
2021-04,64
2021-05,56
2021-06,51
2021-07,43
2021-08,54
2021-09,65
2021-10,64
2021-11,62
2021-12,52
2022-01,75
2022-02,71
2022-03,61
2022-04,63
2022-05,54
2022-06,48
2022-07,40
2022-08,55
2022-09,60
2022-10,58
2022-11,65
2022-12,52
2023-01,63
2023-02,63
2023-03,60
2023-04,53
2023-05,51
2023-06,45
2023-07,39
2023-08,55
2023-09,60
2023-10,58
2023-11,46
2023-12,32
2024-01,37
2024-02,47
2024-03,43
2024-04,40
2024-05,34
