Categoría: Todas las categorías

Mes,Psicoterapia: (Grecia)
2010-01,61
2010-02,97
2010-03,87
2010-04,86
2010-05,37
2010-06,56
2010-07,31
2010-08,44
2010-09,44
2010-10,62
2010-11,77
2010-12,53
2011-01,48
2011-02,55
2011-03,52
2011-04,49
2011-05,47
2011-06,40
2011-07,40
2011-08,40
2011-09,46
2011-10,50
2011-11,52
2011-12,31
2012-01,48
2012-02,39
2012-03,43
2012-04,46
2012-05,48
2012-06,50
2012-07,49
2012-08,43
2012-09,57
2012-10,53
2012-11,41
2012-12,36
2013-01,41
2013-02,44
2013-03,35
2013-04,42
2013-05,44
2013-06,44
2013-07,41
2013-08,34
2013-09,52
2013-10,50
2013-11,39
2013-12,38
2014-01,38
2014-02,43
2014-03,43
2014-04,42
2014-05,40
2014-06,35
2014-07,37
2014-08,36
2014-09,54
2014-10,63
2014-11,54
2014-12,42
2015-01,48
2015-02,43
2015-03,51
2015-04,35
2015-05,52
2015-06,49
2015-07,30
2015-08,42
2015-09,44
2015-10,45
2015-11,48
2015-12,42
2016-01,56
2016-02,53
2016-03,51
2016-04,52
2016-05,51
2016-06,42
2016-07,42
2016-08,40
2016-09,51
2016-10,49
2016-11,48
2016-12,40
2017-01,47
2017-02,54
2017-03,58
2017-04,48
2017-05,47
2017-06,51
2017-07,40
2017-08,45
2017-09,62
2017-10,57
2017-11,51
2017-12,46
2018-01,51
2018-02,49
2018-03,53
2018-04,52
2018-05,61
2018-06,58
2018-07,55
2018-08,45
2018-09,76
2018-10,79
2018-11,72
2018-12,62
2019-01,70
2019-02,70
2019-03,81
2019-04,74
2019-05,70
2019-06,69
2019-07,64
2019-08,65
2019-09,76
2019-10,85
2019-11,73
2019-12,57
2020-01,79
2020-02,85
2020-03,53
2020-04,56
2020-05,78
2020-06,83
2020-07,71
2020-08,56
2020-09,82
2020-10,70
2020-11,66
2020-12,64
2021-01,82
2021-02,76
2021-03,73
2021-04,61
2021-05,68
2021-06,66
2021-07,60
2021-08,66
2021-09,79
2021-10,87
2021-11,83
2021-12,61
2022-01,88
2022-02,85
2022-03,87
2022-04,82
2022-05,79
2022-06,82
2022-07,72
2022-08,67
2022-09,94
2022-10,87
2022-11,89
2022-12,76
2023-01,90
2023-02,82
2023-03,94
2023-04,87
2023-05,96
2023-06,84
2023-07,72
2023-08,82
2023-09,100
2023-10,97
2023-11,87
2023-12,71
2024-01,96
2024-02,97
2024-03,87
2024-04,94
2024-05,80
