Categoría: Todas las categorías

Mes,Psicoterapia: (Croacia)
2010-01,39
2010-02,44
2010-03,37
2010-04,0
2010-05,0
2010-06,0
2010-07,42
2010-08,42
2010-09,0
2010-10,39
2010-11,0
2010-12,0
2011-01,37
2011-02,43
2011-03,23
2011-04,31
2011-05,43
2011-06,36
2011-07,34
2011-08,33
2011-09,35
2011-10,31
2011-11,39
2011-12,41
2012-01,20
2012-02,35
2012-03,42
2012-04,37
2012-05,28
2012-06,28
2012-07,30
2012-08,27
2012-09,34
2012-10,31
2012-11,21
2012-12,22
2013-01,28
2013-02,27
2013-03,30
2013-04,32
2013-05,30
2013-06,20
2013-07,29
2013-08,25
2013-09,43
2013-10,42
2013-11,37
2013-12,24
2014-01,34
2014-02,32
2014-03,38
2014-04,29
2014-05,29
2014-06,24
2014-07,47
2014-08,31
2014-09,34
2014-10,34
2014-11,24
2014-12,36
2015-01,34
2015-02,34
2015-03,45
2015-04,41
2015-05,38
2015-06,28
2015-07,29
2015-08,30
2015-09,39
2015-10,30
2015-11,34
2015-12,41
2016-01,48
2016-02,49
2016-03,41
2016-04,42
2016-05,46
2016-06,30
2016-07,37
2016-08,41
2016-09,37
2016-10,41
2016-11,29
2016-12,27
2017-01,30
2017-02,30
2017-03,35
2017-04,30
2017-05,39
2017-06,31
2017-07,31
2017-08,33
2017-09,33
2017-10,33
2017-11,46
2017-12,40
2018-01,42
2018-02,40
2018-03,37
2018-04,43
2018-05,40
2018-06,37
2018-07,31
2018-08,36
2018-09,49
2018-10,60
2018-11,47
2018-12,47
2019-01,50
2019-02,48
2019-03,53
2019-04,48
2019-05,46
2019-06,41
2019-07,48
2019-08,33
2019-09,52
2019-10,48
2019-11,49
2019-12,41
2020-01,52
2020-02,60
2020-03,38
2020-04,38
2020-05,48
2020-06,47
2020-07,54
2020-08,46
2020-09,61
2020-10,58
2020-11,53
2020-12,38
2021-01,67
2021-02,59
2021-03,57
2021-04,61
2021-05,61
2021-06,44
2021-07,49
2021-08,51
2021-09,62
2021-10,85
2021-11,61
2021-12,53
2022-01,89
2022-02,98
2022-03,94
2022-04,59
2022-05,65
2022-06,55
2022-07,62
2022-08,66
2022-09,67
2022-10,73
2022-11,83
2022-12,77
2023-01,79
2023-02,98
2023-03,87
2023-04,71
2023-05,87
2023-06,59
2023-07,80
2023-08,82
2023-09,86
2023-10,90
2023-11,73
2023-12,54
2024-01,81
2024-02,95
2024-03,100
2024-04,75
2024-05,62
