Categoría: Todas las categorías

Mes,Psicoterapia: (Irlanda)
2010-01,64
2010-02,60
2010-03,70
2010-04,55
2010-05,52
2010-06,48
2010-07,47
2010-08,45
2010-09,62
2010-10,46
2010-11,44
2010-12,38
2011-01,67
2011-02,53
2011-03,52
2011-04,61
2011-05,50
2011-06,49
2011-07,49
2011-08,49
2011-09,48
2011-10,56
2011-11,52
2011-12,35
2012-01,58
2012-02,52
2012-03,51
2012-04,56
2012-05,49
2012-06,49
2012-07,47
2012-08,48
2012-09,45
2012-10,48
2012-11,42
2012-12,36
2013-01,56
2013-02,53
2013-03,53
2013-04,59
2013-05,50
2013-06,49
2013-07,53
2013-08,49
2013-09,52
2013-10,56
2013-11,49
2013-12,40
2014-01,60
2014-02,49
2014-03,52
2014-04,44
2014-05,48
2014-06,42
2014-07,38
2014-08,41
2014-09,47
2014-10,47
2014-11,42
2014-12,33
2015-01,52
2015-02,44
2015-03,48
2015-04,51
2015-05,48
2015-06,48
2015-07,47
2015-08,46
2015-09,54
2015-10,52
2015-11,55
2015-12,43
2016-01,74
2016-02,70
2016-03,74
2016-04,81
2016-05,53
2016-06,47
2016-07,49
2016-08,46
2016-09,50
2016-10,54
2016-11,45
2016-12,29
2017-01,50
2017-02,47
2017-03,46
2017-04,48
2017-05,46
2017-06,40
2017-07,36
2017-08,40
2017-09,39
2017-10,44
2017-11,45
2017-12,34
2018-01,41
2018-02,47
2018-03,74
2018-04,86
2018-05,75
2018-06,73
2018-07,64
2018-08,67
2018-09,77
2018-10,83
2018-11,86
2018-12,72
2019-01,87
2019-02,83
2019-03,78
2019-04,81
2019-05,76
2019-06,72
2019-07,82
2019-08,79
2019-09,97
2019-10,100
2019-11,99
2019-12,67
2020-01,86
2020-02,91
2020-03,61
2020-04,54
2020-05,59
2020-06,83
2020-07,78
2020-08,73
2020-09,91
2020-10,75
2020-11,76
2020-12,59
2021-01,72
2021-02,83
2021-03,94
2021-04,99
2021-05,94
2021-06,85
2021-07,73
2021-08,78
2021-09,81
2021-10,82
2021-11,79
2021-12,60
2022-01,86
2022-02,89
2022-03,83
2022-04,83
2022-05,86
2022-06,67
2022-07,56
2022-08,64
2022-09,63
2022-10,69
2022-11,73
2022-12,61
2023-01,87
2023-02,78
2023-03,67
2023-04,51
2023-05,44
2023-06,43
2023-07,43
2023-08,38
2023-09,51
2023-10,45
2023-11,47
2023-12,38
2024-01,53
2024-02,54
2024-03,53
2024-04,50
2024-05,43
