Categoría: Todas las categorías

Mes,Psicoterapia: (Lituania)
2010-01,39
2010-02,56
2010-03,100
2010-04,38
2010-05,54
2010-06,59
2010-07,55
2010-08,45
2010-09,55
2010-10,73
2010-11,43
2010-12,56
2011-01,62
2011-02,35
2011-03,41
2011-04,36
2011-05,56
2011-06,79
2011-07,40
2011-08,30
2011-09,59
2011-10,32
2011-11,47
2011-12,50
2012-01,47
2012-02,40
2012-03,54
2012-04,75
2012-05,36
2012-06,43
2012-07,31
2012-08,49
2012-09,31
2012-10,56
2012-11,62
2012-12,31
2013-01,64
2013-02,37
2013-03,48
2013-04,71
2013-05,48
2013-06,44
2013-07,58
2013-08,38
2013-09,34
2013-10,46
2013-11,49
2013-12,48
2014-01,52
2014-02,38
2014-03,47
2014-04,51
2014-05,36
2014-06,41
2014-07,30
2014-08,38
2014-09,61
2014-10,52
2014-11,47
2014-12,57
2015-01,50
2015-02,43
2015-03,36
2015-04,40
2015-05,48
2015-06,59
2015-07,39
2015-08,39
2015-09,59
2015-10,42
2015-11,51
2015-12,39
2016-01,48
2016-02,51
2016-03,48
2016-04,46
2016-05,45
2016-06,43
2016-07,26
2016-08,34
2016-09,54
2016-10,32
2016-11,31
2016-12,57
2017-01,63
2017-02,71
2017-03,48
2017-04,74
2017-05,63
2017-06,44
2017-07,75
2017-08,62
2017-09,84
2017-10,72
2017-11,87
2017-12,63
2018-01,48
2018-02,57
2018-03,66
2018-04,66
2018-05,41
2018-06,59
2018-07,46
2018-08,32
2018-09,60
2018-10,54
2018-11,54
2018-12,69
2019-01,48
2019-02,53
2019-03,49
2019-04,30
2019-05,56
2019-06,57
2019-07,64
2019-08,50
2019-09,76
2019-10,62
2019-11,57
2019-12,54
2020-01,61
2020-02,79
2020-03,43
2020-04,37
2020-05,62
2020-06,79
2020-07,58
2020-08,67
2020-09,77
2020-10,69
2020-11,57
2020-12,49
2021-01,52
2021-02,70
2021-03,60
2021-04,56
2021-05,68
2021-06,49
2021-07,61
2021-08,50
2021-09,65
2021-10,55
2021-11,80
2021-12,54
2022-01,88
2022-02,77
2022-03,67
2022-04,58
2022-05,74
2022-06,48
2022-07,62
2022-08,77
2022-09,66
2022-10,83
2022-11,69
2022-12,59
2023-01,79
2023-02,68
2023-03,83
2023-04,74
2023-05,80
2023-06,89
2023-07,64
2023-08,66
2023-09,91
2023-10,84
2023-11,90
2023-12,71
2024-01,86
2024-02,86
2024-03,85
2024-04,99
2024-05,84
