Categoría: Todas las categorías

Mes,Psicoterapia: (Letonia)
2010-01,44
2010-02,0
2010-03,0
2010-04,38
2010-05,0
2010-06,100
2010-07,0
2010-08,0
2010-09,45
2010-10,36
2010-11,38
2010-12,38
2011-01,27
2011-02,24
2011-03,0
2011-04,25
2011-05,29
2011-06,0
2011-07,0
2011-08,0
2011-09,30
2011-10,31
2011-11,28
2011-12,22
2012-01,26
2012-02,0
2012-03,24
2012-04,25
2012-05,27
2012-06,20
2012-07,20
2012-08,0
2012-09,20
2012-10,27
2012-11,16
2012-12,21
2013-01,32
2013-02,0
2013-03,17
2013-04,19
2013-05,0
2013-06,18
2013-07,21
2013-08,16
2013-09,27
2013-10,19
2013-11,19
2013-12,16
2014-01,24
2014-02,26
2014-03,17
2014-04,0
2014-05,16
2014-06,0
2014-07,0
2014-08,20
2014-09,0
2014-10,23
2014-11,20
2014-12,23
2015-01,23
2015-02,18
2015-03,13
2015-04,18
2015-05,18
2015-06,0
2015-07,0
2015-08,14
2015-09,20
2015-10,14
2015-11,25
2015-12,0
2016-01,19
2016-02,23
2016-03,17
2016-04,15
2016-05,25
2016-06,17
2016-07,19
2016-08,19
2016-09,20
2016-10,26
2016-11,41
2016-12,42
2017-01,45
2017-02,51
2017-03,60
2017-04,30
2017-05,29
2017-06,19
2017-07,38
2017-08,25
2017-09,27
2017-10,46
2017-11,33
2017-12,37
2018-01,46
2018-02,32
2018-03,21
2018-04,18
2018-05,16
2018-06,20
2018-07,26
2018-08,0
2018-09,19
2018-10,0
2018-11,12
2018-12,24
2019-01,25
2019-02,15
2019-03,18
2019-04,26
2019-05,23
2019-06,20
2019-07,17
2019-08,18
2019-09,19
2019-10,10
2019-11,22
2019-12,19
2020-01,23
2020-02,25
2020-03,14
2020-04,22
2020-05,10
2020-06,29
2020-07,18
2020-08,13
2020-09,23
2020-10,21
2020-11,30
2020-12,24
2021-01,24
2021-02,25
2021-03,38
2021-04,28
2021-05,28
2021-06,31
2021-07,29
2021-08,31
2021-09,32
2021-10,26
2021-11,35
2021-12,25
2022-01,41
2022-02,34
2022-03,32
2022-04,30
2022-05,35
2022-06,25
2022-07,48
2022-08,29
2022-09,33
2022-10,32
2022-11,32
2022-12,27
2023-01,42
2023-02,28
2023-03,18
2023-04,32
2023-05,29
2023-06,27
2023-07,35
2023-08,29
2023-09,40
2023-10,36
2023-11,26
2023-12,24
2024-01,14
2024-02,22
2024-03,30
2024-04,18
2024-05,26
