Categoría: Todas las categorías

Mes,Psicoterapia: (Países Bajos)
2010-01,89
2010-02,90
2010-03,95
2010-04,82
2010-05,70
2010-06,77
2010-07,78
2010-08,77
2010-09,84
2010-10,87
2010-11,100
2010-12,72
2011-01,83
2011-02,81
2011-03,81
2011-04,69
2011-05,84
2011-06,79
2011-07,65
2011-08,79
2011-09,81
2011-10,70
2011-11,77
2011-12,65
2012-01,69
2012-02,68
2012-03,75
2012-04,63
2012-05,73
2012-06,64
2012-07,54
2012-08,56
2012-09,61
2012-10,71
2012-11,65
2012-12,60
2013-01,68
2013-02,72
2013-03,66
2013-04,66
2013-05,66
2013-06,59
2013-07,58
2013-08,64
2013-09,62
2013-10,64
2013-11,68
2013-12,58
2014-01,63
2014-02,65
2014-03,55
2014-04,59
2014-05,55
2014-06,57
2014-07,49
2014-08,53
2014-09,56
2014-10,58
2014-11,60
2014-12,51
2015-01,55
2015-02,55
2015-03,57
2015-04,53
2015-05,50
2015-06,55
2015-07,46
2015-08,49
2015-09,54
2015-10,52
2015-11,57
2015-12,52
2016-01,54
2016-02,54
2016-03,54
2016-04,56
2016-05,49
2016-06,56
2016-07,44
2016-08,47
2016-09,54
2016-10,57
2016-11,52
2016-12,39
2017-01,52
2017-02,66
2017-03,50
2017-04,48
2017-05,47
2017-06,44
2017-07,41
2017-08,40
2017-09,53
2017-10,52
2017-11,52
2017-12,43
2018-01,44
2018-02,40
2018-03,41
2018-04,40
2018-05,40
2018-06,42
2018-07,33
2018-08,34
2018-09,55
2018-10,58
2018-11,56
2018-12,50
2019-01,53
2019-02,56
2019-03,55
2019-04,58
2019-05,57
2019-06,48
2019-07,52
2019-08,47
2019-09,56
2019-10,59
2019-11,55
2019-12,50
2020-01,58
2020-02,57
2020-03,41
2020-04,39
2020-05,43
2020-06,52
2020-07,48
2020-08,44
2020-09,51
2020-10,46
2020-11,49
2020-12,45
2021-01,49
2021-02,51
2021-03,51
2021-04,49
2021-05,50
2021-06,54
2021-07,44
2021-08,48
2021-09,53
2021-10,59
2021-11,52
2021-12,51
2022-01,66
2022-02,57
2022-03,60
2022-04,56
2022-05,54
2022-06,55
2022-07,49
2022-08,51
2022-09,58
2022-10,61
2022-11,56
2022-12,52
2023-01,58
2023-02,57
2023-03,63
2023-04,62
2023-05,63
2023-06,62
2023-07,51
2023-08,55
2023-09,59
2023-10,55
2023-11,49
2023-12,40
2024-01,46
2024-02,44
2024-03,40
2024-04,44
2024-05,33
