Categoría: Salud

Mes,Psicólogo: (Estonia)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,84
2010-11,0
2010-12,0
2011-01,62
2011-02,0
2011-03,0
2011-04,0
2011-05,52
2011-06,0
2011-07,0
2011-08,52
2011-09,51
2011-10,0
2011-11,0
2011-12,0
2012-01,38
2012-02,41
2012-03,70
2012-04,0
2012-05,0
2012-06,0
2012-07,48
2012-08,57
2012-09,0
2012-10,45
2012-11,0
2012-12,0
2013-01,44
2013-02,0
2013-03,46
2013-04,44
2013-05,51
2013-06,0
2013-07,0
2013-08,35
2013-09,0
2013-10,66
2013-11,56
2013-12,68
2014-01,83
2014-02,56
2014-03,51
2014-04,50
2014-05,59
2014-06,0
2014-07,0
2014-08,50
2014-09,50
2014-10,65
2014-11,52
2014-12,39
2015-01,54
2015-02,46
2015-03,41
2015-04,32
2015-05,41
2015-06,38
2015-07,40
2015-08,48
2015-09,89
2015-10,41
2015-11,65
2015-12,47
2016-01,64
2016-02,66
2016-03,53
2016-04,53
2016-05,56
2016-06,45
2016-07,0
2016-08,62
2016-09,66
2016-10,53
2016-11,58
2016-12,38
2017-01,47
2017-02,56
2017-03,56
2017-04,60
2017-05,52
2017-06,41
2017-07,0
2017-08,45
2017-09,0
2017-10,76
2017-11,71
2017-12,79
2018-01,54
2018-02,61
2018-03,72
2018-04,66
2018-05,68
2018-06,62
2018-07,34
2018-08,0
2018-09,55
2018-10,62
2018-11,82
2018-12,53
2019-01,59
2019-02,89
2019-03,48
2019-04,56
2019-05,53
2019-06,56
2019-07,44
2019-08,64
2019-09,66
2019-10,81
2019-11,73
2019-12,45
2020-01,69
2020-02,73
2020-03,63
2020-04,42
2020-05,71
2020-06,58
2020-07,51
2020-08,57
2020-09,87
2020-10,100
2020-11,91
2020-12,69
2021-01,86
2021-02,65
2021-03,72
2021-04,72
2021-05,66
2021-06,66
2021-07,64
2021-08,61
2021-09,75
2021-10,74
2021-11,66
2021-12,82
2022-01,84
2022-02,70
2022-03,73
2022-04,86
2022-05,67
2022-06,39
2022-07,53
2022-08,69
2022-09,69
2022-10,81
2022-11,74
2022-12,66
2023-01,75
2023-02,88
2023-03,94
2023-04,70
2023-05,65
2023-06,67
2023-07,62
2023-08,67
2023-09,72
2023-10,86
2023-11,67
2023-12,64
2024-01,66
2024-02,78
2024-03,82
2024-04,77
2024-05,75
