Categoría: Salud

Mes,Psicólogo: (España)
2010-01,14
2010-02,16
2010-03,16
2010-04,17
2010-05,17
2010-06,14
2010-07,14
2010-08,16
2010-09,20
2010-10,21
2010-11,19
2010-12,16
2011-01,9
2011-02,13
2011-03,15
2011-04,15
2011-05,16
2011-06,14
2011-07,13
2011-08,13
2011-09,18
2011-10,14
2011-11,15
2011-12,9
2012-01,14
2012-02,14
2012-03,16
2012-04,11
2012-05,12
2012-06,12
2012-07,12
2012-08,12
2012-09,14
2012-10,16
2012-11,15
2012-12,15
2013-01,14
2013-02,11
2013-03,13
2013-04,18
2013-05,17
2013-06,13
2013-07,16
2013-08,15
2013-09,19
2013-10,18
2013-11,14
2013-12,19
2014-01,17
2014-02,18
2014-03,17
2014-04,16
2014-05,16
2014-06,18
2014-07,19
2014-08,18
2014-09,19
2014-10,20
2014-11,19
2014-12,13
2015-01,19
2015-02,19
2015-03,20
2015-04,19
2015-05,19
2015-06,19
2015-07,17
2015-08,17
2015-09,18
2015-10,19
2015-11,17
2015-12,15
2016-01,17
2016-02,21
2016-03,17
2016-04,20
2016-05,17
2016-06,17
2016-07,19
2016-08,14
2016-09,20
2016-10,19
2016-11,34
2016-12,29
2017-01,33
2017-02,42
2017-03,41
2017-04,34
2017-05,49
2017-06,56
2017-07,52
2017-08,50
2017-09,58
2017-10,57
2017-11,57
2017-12,50
2018-01,60
2018-02,55
2018-03,52
2018-04,57
2018-05,56
2018-06,52
2018-07,50
2018-08,44
2018-09,51
2018-10,52
2018-11,60
2018-12,52
2019-01,52
2019-02,56
2019-03,56
2019-04,47
2019-05,56
2019-06,57
2019-07,60
2019-08,51
2019-09,49
2019-10,54
2019-11,51
2019-12,45
2020-01,52
2020-02,56
2020-03,49
2020-04,39
2020-05,44
2020-06,47
2020-07,51
2020-08,46
2020-09,44
2020-10,44
2020-11,42
2020-12,34
2021-01,35
2021-02,54
2021-03,42
2021-04,42
2021-05,51
2021-06,46
2021-07,49
2021-08,50
2021-09,47
2021-10,40
2021-11,43
2021-12,35
2022-01,50
2022-02,63
2022-03,72
2022-04,61
2022-05,59
2022-06,60
2022-07,53
2022-08,55
2022-09,68
2022-10,87
2022-11,88
2022-12,75
2023-01,100
2023-02,97
2023-03,58
2023-04,49
2023-05,46
2023-06,44
2023-07,51
2023-08,44
2023-09,45
2023-10,40
2023-11,42
2023-12,56
2024-01,91
2024-02,86
2024-03,76
2024-04,84
2024-05,82
