Categoría: Salud

Mes,Psicólogo: (Eslovaquia)
2010-01,63
2010-02,64
2010-03,52
2010-04,100
2010-05,52
2010-06,57
2010-07,42
2010-08,42
2010-09,78
2010-10,58
2010-11,83
2010-12,44
2011-01,81
2011-02,50
2011-03,69
2011-04,59
2011-05,52
2011-06,71
2011-07,48
2011-08,47
2011-09,60
2011-10,66
2011-11,65
2011-12,55
2012-01,61
2012-02,67
2012-03,65
2012-04,46
2012-05,63
2012-06,52
2012-07,40
2012-08,46
2012-09,67
2012-10,66
2012-11,57
2012-12,38
2013-01,79
2013-02,49
2013-03,50
2013-04,45
2013-05,49
2013-06,40
2013-07,45
2013-08,45
2013-09,51
2013-10,59
2013-11,73
2013-12,43
2014-01,71
2014-02,52
2014-03,58
2014-04,62
2014-05,59
2014-06,57
2014-07,45
2014-08,56
2014-09,60
2014-10,71
2014-11,66
2014-12,39
2015-01,70
2015-02,64
2015-03,57
2015-04,60
2015-05,49
2015-06,51
2015-07,43
2015-08,53
2015-09,64
2015-10,52
2015-11,41
2015-12,34
2016-01,63
2016-02,55
2016-03,67
2016-04,57
2016-05,58
2016-06,52
2016-07,34
2016-08,49
2016-09,53
2016-10,63
2016-11,30
2016-12,26
2017-01,20
2017-02,34
2017-03,30
2017-04,18
2017-05,25
2017-06,42
2017-07,33
2017-08,36
2017-09,35
2017-10,34
2017-11,41
2017-12,27
2018-01,40
2018-02,41
2018-03,38
2018-04,38
2018-05,35
2018-06,38
2018-07,24
2018-08,23
2018-09,35
2018-10,56
2018-11,55
2018-12,43
2019-01,65
2019-02,58
2019-03,49
2019-04,47
2019-05,53
2019-06,60
2019-07,49
2019-08,60
2019-09,57
2019-10,72
2019-11,58
2019-12,50
2020-01,65
2020-02,65
2020-03,33
2020-04,35
2020-05,40
2020-06,59
2020-07,50
2020-08,53
2020-09,69
2020-10,58
2020-11,62
2020-12,45
2021-01,47
2021-02,59
2021-03,59
2021-04,67
2021-05,69
2021-06,70
2021-07,53
2021-08,67
2021-09,55
2021-10,68
2021-11,70
2021-12,46
2022-01,81
2022-02,76
2022-03,93
2022-04,86
2022-05,81
2022-06,70
2022-07,64
2022-08,65
2022-09,85
2022-10,85
2022-11,81
2022-12,52
2023-01,86
2023-02,96
2023-03,72
2023-04,58
2023-05,53
2023-06,47
2023-07,42
2023-08,45
2023-09,48
2023-10,40
2023-11,51
2023-12,33
2024-01,71
2024-02,69
2024-03,80
2024-04,77
2024-05,61
