geoName;coordinates;estrés;dolor de cuello;dolor de espalda;molestias en los ojos;dolor de muñeca;Fecha
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;03/06/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;04/06/2018
Jaca;{'lat': 42.5717166, 'lng': -0.5470554};0;0;0;0;0;15/06/2018
Jaca;{'lat': 42.5717166, 'lng': -0.5470554};0;0;0;0;0;16/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;100;0;0;0;24/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;25/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;100;0;0;26/06/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;27/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;27/06/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;28/06/2018
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;01/07/2018
Ricla;{'lat': 41.506493, 'lng': -1.4036179};0;0;0;0;0;02/07/2018
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;02/07/2018
Ricla;{'lat': 41.506493, 'lng': -1.4036179};0;0;0;0;0;03/07/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;06/07/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;07/07/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;10/07/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;11/07/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;12/07/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;21/07/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;22/07/2018
Barbastro;{'lat': 42.0360435, 'lng': 0.1284404};0;0;0;0;0;24/07/2018
Barbastro;{'lat': 42.0360435, 'lng': 0.1284404};0;0;0;0;0;25/07/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;02/09/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;03/09/2018
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;05/09/2018
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;05/09/2018
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;06/09/2018
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;06/09/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;12/09/2018
