geoName;coordinates;cansancio;pérdida de apetito;Pérdida de libido;Ataque de pánico;culpa;Fecha
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;01/06/2018
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;100;04/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;04/06/2018
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;05/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};31;0;0;0;69;05/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;06/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;07/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;100;08/06/2018
Alcañiz;{'lat': 41.0510353, 'lng': -0.1335373};0;0;0;0;0;10/06/2018
Alcañiz;{'lat': 41.0510353, 'lng': -0.1335373};0;0;0;0;0;11/06/2018
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;12/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;12/06/2018
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;13/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;100;13/06/2018
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};100;0;0;0;0;14/06/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;15/06/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;16/06/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;100;17/06/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;18/06/2018
María de Huerva;{'lat': 41.540099, 'lng': -0.9946155};0;0;0;0;0;21/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;21/06/2018
María de Huerva;{'lat': 41.540099, 'lng': -0.9946155};0;0;0;0;0;22/06/2018
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;22/06/2018
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;24/06/2018
