longitud,anyo,via
131.192,2017,Carril Bici
116.59,2014,Carril Bici
105.92,2012,Carril Bici
104.42,2011,Carril Bici
78.87,2008,Carril Bici
41.87,2006,Carril Bici
75.61,2017,Sendas Ciclables
75.61,2016,Sendas Ciclables
28.02,2005,Carril Bici
75.61,2020,Sendas Ciclables
136.446,2019,Carril Bici
75.61,2015,Sendas Ciclables
104.07,2010,Carril Bici
122.422,2016,Carril Bici
51.16,2007,Carril Bici
136.542,2020,Carril Bici
75.61,2019,Sendas Ciclables
75.61,2018,Sendas Ciclables
133.231,2018,Carril Bici
119.57,2015,Carril Bici
113.07,2012,Carril Bici
93.25,2009,Carril Bici
