Categoría: Todas las categorías

Mes,Depresión: (Alemania)
2010-01,30
2010-02,28
2010-03,28
2010-04,26
2010-05,28
2010-06,25
2010-07,26
2010-08,27
2010-09,28
2010-10,32
2010-11,34
2010-12,25
2011-01,28
2011-02,28
2011-03,27
2011-04,25
2011-05,27
2011-06,29
2011-07,30
2011-08,31
2011-09,28
2011-10,28
2011-11,29
2011-12,27
2012-01,30
2012-02,30
2012-03,30
2012-04,29
2012-05,28
2012-06,29
2012-07,29
2012-08,31
2012-09,28
2012-10,30
2012-11,30
2012-12,27
2013-01,32
2013-02,33
2013-03,28
2013-04,28
2013-05,29
2013-06,29
2013-07,28
2013-08,27
2013-09,29
2013-10,33
2013-11,34
2013-12,29
2014-01,36
2014-02,34
2014-03,35
2014-04,30
2014-05,30
2014-06,31
2014-07,31
2014-08,35
2014-09,33
2014-10,34
2014-11,39
2014-12,36
2015-01,39
2015-02,38
2015-03,41
2015-04,43
2015-05,38
2015-06,34
2015-07,33
2015-08,32
2015-09,34
2015-10,37
2015-11,38
2015-12,36
2016-01,39
2016-02,41
2016-03,43
2016-04,41
2016-05,40
2016-06,37
2016-07,34
2016-08,33
2016-09,34
2016-10,39
2016-11,8
2016-12,5
2017-01,5
2017-02,5
2017-03,6
2017-04,5
2017-05,5
2017-06,5
2017-07,5
2017-08,6
2017-09,6
2017-10,6
2017-11,6
2017-12,5
2018-01,6
2018-02,7
2018-03,10
2018-04,10
2018-05,10
2018-06,10
2018-07,10
2018-08,9
2018-09,9
2018-10,10
2018-11,11
2018-12,10
2019-01,11
2019-02,10
2019-03,11
2019-04,10
2019-05,10
2019-06,11
2019-07,65
2019-08,66
2019-09,65
2019-10,70
2019-11,78
2019-12,66
2020-01,73
2020-02,72
2020-03,53
2020-04,57
2020-05,65
2020-06,67
2020-07,66
2020-08,57
2020-09,30
2020-10,7
2020-11,8
2020-12,7
2021-01,8
2021-02,8
2021-03,7
2021-04,8
2021-05,8
2021-06,8
2021-07,7
2021-08,7
2021-09,8
2021-10,7
2021-11,8
2021-12,8
2022-01,24
2022-02,83
2022-03,93
2022-04,79
2022-05,82
2022-06,82
2022-07,77
2022-08,77
2022-09,77
2022-10,75
2022-11,80
2022-12,78
2023-01,100
2023-02,86
2023-03,83
2023-04,40
2023-05,12
2023-06,13
2023-07,11
2023-08,11
2023-09,11
2023-10,11
2023-11,11
2023-12,11
2024-01,12
2024-02,12
2024-03,11
2024-04,12
2024-05,11
