Categoría: Todas las categorías

Mes,Depresión: (Chipre)
2010-01,59
2010-02,70
2010-03,76
2010-04,64
2010-05,84
2010-06,0
2010-07,0
2010-08,82
2010-09,84
2010-10,0
2010-11,0
2010-12,77
2011-01,77
2011-02,54
2011-03,60
2011-04,63
2011-05,65
2011-06,55
2011-07,38
2011-08,45
2011-09,68
2011-10,74
2011-11,67
2011-12,68
2012-01,80
2012-02,82
2012-03,100
2012-04,60
2012-05,67
2012-06,72
2012-07,66
2012-08,64
2012-09,69
2012-10,74
2012-11,59
2012-12,56
2013-01,56
2013-02,65
2013-03,63
2013-04,74
2013-05,60
2013-06,49
2013-07,55
2013-08,71
2013-09,48
2013-10,56
2013-11,61
2013-12,59
2014-01,57
2014-02,52
2014-03,73
2014-04,67
2014-05,68
2014-06,59
2014-07,48
2014-08,89
2014-09,80
2014-10,63
2014-11,73
2014-12,71
2015-01,68
2015-02,65
2015-03,77
2015-04,73
2015-05,68
2015-06,64
2015-07,54
2015-08,63
2015-09,73
2015-10,78
2015-11,83
2015-12,83
2016-01,75
2016-02,60
2016-03,75
2016-04,75
2016-05,69
2016-06,64
2016-07,60
2016-08,64
2016-09,49
2016-10,80
2016-11,56
2016-12,69
2017-01,67
2017-02,77
2017-03,68
2017-04,71
2017-05,66
2017-06,55
2017-07,70
2017-08,71
2017-09,75
2017-10,78
2017-11,72
2017-12,78
2018-01,65
2018-02,76
2018-03,67
2018-04,88
2018-05,82
2018-06,69
2018-07,70
2018-08,64
2018-09,78
2018-10,73
2018-11,85
2018-12,85
2019-01,63
2019-02,79
2019-03,92
2019-04,80
2019-05,94
2019-06,70
2019-07,66
2019-08,83
2019-09,84
2019-10,73
2019-11,78
2019-12,71
2020-01,66
2020-02,72
2020-03,72
2020-04,77
2020-05,83
2020-06,81
2020-07,69
2020-08,76
2020-09,80
2020-10,72
2020-11,77
2020-12,75
2021-01,68
2021-02,72
2021-03,75
2021-04,82
2021-05,63
2021-06,74
2021-07,54
2021-08,79
2021-09,57
2021-10,72
2021-11,68
2021-12,78
2022-01,67
2022-02,69
2022-03,53
2022-04,48
2022-05,58
2022-06,55
2022-07,52
2022-08,51
2022-09,41
2022-10,56
2022-11,62
2022-12,62
2023-01,60
2023-02,48
2023-03,53
2023-04,63
2023-05,58
2023-06,57
2023-07,43
2023-08,57
2023-09,49
2023-10,54
2023-11,59
2023-12,65
2024-01,55
2024-02,52
2024-03,58
2024-04,53
2024-05,54
