Categoría: Todas las categorías

Mes,Psicoterapia: (Chipre)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,80
2012-07,73
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,51
2013-07,42
2013-08,0
2013-09,50
2013-10,57
2013-11,0
2013-12,0
2014-01,45
2014-02,0
2014-03,0
2014-04,49
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,45
2014-10,49
2014-11,60
2014-12,38
2015-01,60
2015-02,0
2015-03,39
2015-04,44
2015-05,70
2015-06,59
2015-07,0
2015-08,0
2015-09,0
2015-10,59
2015-11,69
2015-12,48
2016-01,43
2016-02,0
2016-03,40
2016-04,76
2016-05,50
2016-06,42
2016-07,43
2016-08,40
2016-09,59
2016-10,31
2016-11,67
2016-12,54
2017-01,42
2017-02,0
2017-03,49
2017-04,49
2017-05,46
2017-06,35
2017-07,36
2017-08,0
2017-09,0
2017-10,38
2017-11,37
2017-12,33
2018-01,47
2018-02,0
2018-03,49
2018-04,45
2018-05,59
2018-06,0
2018-07,0
2018-08,44
2018-09,41
2018-10,63
2018-11,81
2018-12,58
2019-01,66
2019-02,45
2019-03,63
2019-04,37
2019-05,41
2019-06,38
2019-07,40
2019-08,40
2019-09,45
2019-10,64
2019-11,84
2019-12,53
2020-01,68
2020-02,42
2020-03,31
2020-04,53
2020-05,69
2020-06,67
2020-07,56
2020-08,64
2020-09,60
2020-10,52
2020-11,57
2020-12,39
2021-01,57
2021-02,55
2021-03,42
2021-04,46
2021-05,55
2021-06,61
2021-07,50
2021-08,43
2021-09,55
2021-10,100
2021-11,62
2021-12,34
2022-01,29
2022-02,65
2022-03,57
2022-04,69
2022-05,45
2022-06,66
2022-07,58
2022-08,56
2022-09,40
2022-10,45
2022-11,53
2022-12,43
2023-01,74
2023-02,54
2023-03,63
2023-04,60
2023-05,49
2023-06,56
2023-07,53
2023-08,50
2023-09,58
2023-10,89
2023-11,74
2023-12,46
2024-01,42
2024-02,65
2024-03,46
2024-04,57
2024-05,33
