Categoría: Salud

Mes,Psicólogo: (Eslovenia)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,54
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,53
2014-07,0
2014-08,0
2014-09,36
2014-10,0
2014-11,34
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,38
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,49
2016-12,52
2017-01,58
2017-02,55
2017-03,62
2017-04,0
2017-05,76
2017-06,58
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,44
2017-12,59
2018-01,46
2018-02,71
2018-03,54
2018-04,41
2018-05,83
2018-06,0
2018-07,0
2018-08,48
2018-09,55
2018-10,55
2018-11,49
2018-12,0
2019-01,66
2019-02,69
2019-03,54
2019-04,54
2019-05,38
2019-06,49
2019-07,54
2019-08,57
2019-09,84
2019-10,75
2019-11,55
2019-12,78
2020-01,100
2020-02,57
2020-03,30
2020-04,0
2020-05,52
2020-06,0
2020-07,51
2020-08,0
2020-09,68
2020-10,36
2020-11,48
2020-12,43
2021-01,45
2021-02,74
2021-03,41
2021-04,66
2021-05,97
2021-06,0
2021-07,54
2021-08,0
2021-09,50
2021-10,37
2021-11,46
2021-12,45
2022-01,93
2022-02,59
2022-03,67
2022-04,43
2022-05,66
2022-06,56
2022-07,55
2022-08,0
2022-09,49
2022-10,66
2022-11,66
2022-12,59
2023-01,41
2023-02,52
2023-03,55
2023-04,56
2023-05,75
2023-06,45
2023-07,45
2023-08,37
2023-09,41
2023-10,66
2023-11,92
2023-12,50
2024-01,71
2024-02,70
2024-03,74
2024-04,76
2024-05,81
