Categoría: Todas las categorías

Mes,Psicoterapia: (España)
2010-01,82
2010-02,92
2010-03,84
2010-04,91
2010-05,84
2010-06,77
2010-07,73
2010-08,82
2010-09,88
2010-10,89
2010-11,97
2010-12,81
2011-01,79
2011-02,83
2011-03,80
2011-04,66
2011-05,71
2011-06,72
2011-07,65
2011-08,67
2011-09,68
2011-10,73
2011-11,86
2011-12,60
2012-01,77
2012-02,74
2012-03,67
2012-04,72
2012-05,75
2012-06,77
2012-07,65
2012-08,64
2012-09,77
2012-10,77
2012-11,67
2012-12,60
2013-01,76
2013-02,82
2013-03,77
2013-04,74
2013-05,77
2013-06,70
2013-07,68
2013-08,57
2013-09,83
2013-10,94
2013-11,80
2013-12,62
2014-01,77
2014-02,72
2014-03,80
2014-04,76
2014-05,78
2014-06,83
2014-07,72
2014-08,64
2014-09,83
2014-10,75
2014-11,83
2014-12,71
2015-01,77
2015-02,77
2015-03,83
2015-04,74
2015-05,70
2015-06,67
2015-07,61
2015-08,58
2015-09,73
2015-10,68
2015-11,68
2015-12,62
2016-01,69
2016-02,75
2016-03,76
2016-04,75
2016-05,74
2016-06,61
2016-07,63
2016-08,54
2016-09,74
2016-10,82
2016-11,73
2016-12,55
2017-01,73
2017-02,85
2017-03,91
2017-04,85
2017-05,83
2017-06,79
2017-07,77
2017-08,61
2017-09,84
2017-10,69
2017-11,76
2017-12,64
2018-01,73
2018-02,82
2018-03,97
2018-04,77
2018-05,68
2018-06,69
2018-07,61
2018-08,60
2018-09,81
2018-10,79
2018-11,81
2018-12,71
2019-01,80
2019-02,74
2019-03,85
2019-04,86
2019-05,87
2019-06,83
2019-07,75
2019-08,70
2019-09,85
2019-10,82
2019-11,80
2019-12,76
2020-01,82
2020-02,85
2020-03,59
2020-04,65
2020-05,71
2020-06,73
2020-07,69
2020-08,67
2020-09,75
2020-10,75
2020-11,80
2020-12,67
2021-01,71
2021-02,77
2021-03,71
2021-04,71
2021-05,74
2021-06,66
2021-07,64
2021-08,65
2021-09,72
2021-10,79
2021-11,77
2021-12,76
2022-01,93
2022-02,91
2022-03,88
2022-04,81
2022-05,83
2022-06,81
2022-07,71
2022-08,69
2022-09,87
2022-10,84
2022-11,87
2022-12,78
2023-01,89
2023-02,93
2023-03,92
2023-04,90
2023-05,94
2023-06,84
2023-07,79
2023-08,82
2023-09,86
2023-10,92
2023-11,87
2023-12,74
2024-01,87
2024-02,100
2024-03,91
2024-04,97
2024-05,91
