Categoría: Todas las categorías

Mes,Ansiedad: (Finlandia)
2010-01,30
2010-02,30
2010-03,26
2010-04,31
2010-05,32
2010-06,27
2010-07,30
2010-08,28
2010-09,33
2010-10,30
2010-11,30
2010-12,26
2011-01,35
2011-02,28
2011-03,31
2011-04,30
2011-05,26
2011-06,26
2011-07,27
2011-08,33
2011-09,32
2011-10,33
2011-11,31
2011-12,29
2012-01,35
2012-02,32
2012-03,41
2012-04,37
2012-05,38
2012-06,35
2012-07,34
2012-08,34
2012-09,40
2012-10,37
2012-11,37
2012-12,38
2013-01,40
2013-02,39
2013-03,40
2013-04,40
2013-05,43
2013-06,39
2013-07,38
2013-08,40
2013-09,42
2013-10,45
2013-11,42
2013-12,39
2014-01,47
2014-02,48
2014-03,46
2014-04,48
2014-05,45
2014-06,46
2014-07,52
2014-08,51
2014-09,50
2014-10,48
2014-11,55
2014-12,53
2015-01,53
2015-02,56
2015-03,56
2015-04,52
2015-05,53
2015-06,53
2015-07,53
2015-08,58
2015-09,56
2015-10,52
2015-11,56
2015-12,59
2016-01,55
2016-02,57
2016-03,58
2016-04,55
2016-05,56
2016-06,54
2016-07,57
2016-08,59
2016-09,56
2016-10,64
2016-11,66
2016-12,60
2017-01,73
2017-02,67
2017-03,71
2017-04,65
2017-05,67
2017-06,63
2017-07,67
2017-08,67
2017-09,67
2017-10,72
2017-11,71
2017-12,70
2018-01,71
2018-02,67
2018-03,74
2018-04,76
2018-05,70
2018-06,71
2018-07,78
2018-08,76
2018-09,75
2018-10,81
2018-11,81
2018-12,75
2019-01,90
2019-02,88
2019-03,80
2019-04,78
2019-05,69
2019-06,72
2019-07,75
2019-08,80
2019-09,77
2019-10,82
2019-11,85
2019-12,75
2020-01,89
2020-02,82
2020-03,79
2020-04,68
2020-05,70
2020-06,75
2020-07,77
2020-08,84
2020-09,78
2020-10,71
2020-11,76
2020-12,77
2021-01,83
2021-02,84
2021-03,86
2021-04,81
2021-05,78
2021-06,77
2021-07,77
2021-08,100
2021-09,86
2021-10,85
2021-11,87
2021-12,81
2022-01,92
2022-02,93
2022-03,99
2022-04,88
2022-05,77
2022-06,79
2022-07,78
2022-08,88
2022-09,90
2022-10,87
2022-11,88
2022-12,77
2023-01,95
2023-02,93
2023-03,94
2023-04,87
2023-05,89
2023-06,77
2023-07,85
2023-08,92
2023-09,90
2023-10,85
2023-11,90
2023-12,84
2024-01,88
2024-02,90
2024-03,93
2024-04,94
2024-05,89
