Categoría: Todas las categorías

Mes,Ansiedad: (Grecia)
2010-01,0
2010-02,31
2010-03,24
2010-04,0
2010-05,29
2010-06,22
2010-07,29
2010-08,0
2010-09,32
2010-10,26
2010-11,19
2010-12,35
2011-01,30
2011-02,16
2011-03,14
2011-04,19
2011-05,20
2011-06,28
2011-07,21
2011-08,24
2011-09,22
2011-10,29
2011-11,26
2011-12,24
2012-01,25
2012-02,20
2012-03,21
2012-04,27
2012-05,25
2012-06,24
2012-07,31
2012-08,31
2012-09,22
2012-10,24
2012-11,22
2012-12,23
2013-01,26
2013-02,20
2013-03,33
2013-04,23
2013-05,31
2013-06,37
2013-07,31
2013-08,35
2013-09,27
2013-10,32
2013-11,24
2013-12,25
2014-01,32
2014-02,27
2014-03,27
2014-04,28
2014-05,31
2014-06,29
2014-07,37
2014-08,39
2014-09,39
2014-10,27
2014-11,31
2014-12,32
2015-01,35
2015-02,31
2015-03,37
2015-04,42
2015-05,41
2015-06,30
2015-07,41
2015-08,39
2015-09,43
2015-10,36
2015-11,29
2015-12,34
2016-01,34
2016-02,31
2016-03,37
2016-04,38
2016-05,38
2016-06,43
2016-07,42
2016-08,47
2016-09,43
2016-10,42
2016-11,34
2016-12,41
2017-01,43
2017-02,39
2017-03,43
2017-04,42
2017-05,53
2017-06,52
2017-07,48
2017-08,60
2017-09,57
2017-10,53
2017-11,49
2017-12,42
2018-01,46
2018-02,50
2018-03,51
2018-04,55
2018-05,71
2018-06,56
2018-07,66
2018-08,69
2018-09,64
2018-10,57
2018-11,55
2018-12,48
2019-01,50
2019-02,58
2019-03,53
2019-04,56
2019-05,61
2019-06,68
2019-07,69
2019-08,69
2019-09,61
2019-10,59
2019-11,47
2019-12,54
2020-01,54
2020-02,48
2020-03,49
2020-04,59
2020-05,63
2020-06,54
2020-07,59
2020-08,59
2020-09,59
2020-10,50
2020-11,51
2020-12,56
2021-01,60
2021-02,60
2021-03,61
2021-04,57
2021-05,69
2021-06,63
2021-07,76
2021-08,77
2021-09,70
2021-10,67
2021-11,63
2021-12,68
2022-01,68
2022-02,69
2022-03,78
2022-04,68
2022-05,69
2022-06,76
2022-07,76
2022-08,81
2022-09,76
2022-10,69
2022-11,65
2022-12,66
2023-01,75
2023-02,64
2023-03,68
2023-04,81
2023-05,83
2023-06,80
2023-07,85
2023-08,100
2023-09,81
2023-10,76
2023-11,79
2023-12,74
2024-01,77
2024-02,69
2024-03,75
2024-04,88
2024-05,87
