Categoría: Todas las categorías

Mes,Depresión: (Grecia)
2010-01,100
2010-02,97
2010-03,93
2010-04,80
2010-05,89
2010-06,90
2010-07,71
2010-08,72
2010-09,72
2010-10,64
2010-11,72
2010-12,71
2011-01,78
2011-02,75
2011-03,87
2011-04,74
2011-05,79
2011-06,73
2011-07,65
2011-08,85
2011-09,96
2011-10,88
2011-11,90
2011-12,88
2012-01,88
2012-02,81
2012-03,77
2012-04,64
2012-05,62
2012-06,64
2012-07,66
2012-08,69
2012-09,74
2012-10,78
2012-11,73
2012-12,68
2013-01,70
2013-02,69
2013-03,65
2013-04,71
2013-05,72
2013-06,67
2013-07,69
2013-08,68
2013-09,61
2013-10,62
2013-11,64
2013-12,66
2014-01,72
2014-02,62
2014-03,72
2014-04,68
2014-05,65
2014-06,69
2014-07,73
2014-08,78
2014-09,65
2014-10,69
2014-11,70
2014-12,68
2015-01,78
2015-02,81
2015-03,85
2015-04,87
2015-05,77
2015-06,62
2015-07,66
2015-08,72
2015-09,68
2015-10,69
2015-11,66
2015-12,68
2016-01,73
2016-02,69
2016-03,76
2016-04,76
2016-05,77
2016-06,60
2016-07,66
2016-08,68
2016-09,67
2016-10,69
2016-11,69
2016-12,66
2017-01,76
2017-02,73
2017-03,80
2017-04,74
2017-05,89
2017-06,70
2017-07,74
2017-08,81
2017-09,75
2017-10,82
2017-11,69
2017-12,74
2018-01,77
2018-02,84
2018-03,93
2018-04,86
2018-05,82
2018-06,80
2018-07,73
2018-08,78
2018-09,73
2018-10,77
2018-11,82
2018-12,78
2019-01,81
2019-02,80
2019-03,88
2019-04,77
2019-05,82
2019-06,77
2019-07,69
2019-08,75
2019-09,72
2019-10,77
2019-11,79
2019-12,80
2020-01,87
2020-02,81
2020-03,62
2020-04,64
2020-05,77
2020-06,77
2020-07,73
2020-08,69
2020-09,68
2020-10,65
2020-11,62
2020-12,69
2021-01,72
2021-02,65
2021-03,66
2021-04,62
2021-05,68
2021-06,66
2021-07,64
2021-08,62
2021-09,56
2021-10,56
2021-11,47
2021-12,59
2022-01,66
2022-02,63
2022-03,33
2022-04,27
2022-05,26
2022-06,27
2022-07,27
2022-08,27
2022-09,26
2022-10,26
2022-11,26
2022-12,29
2023-01,29
2023-02,26
2023-03,32
2023-04,34
2023-05,37
2023-06,29
2023-07,29
2023-08,31
2023-09,29
2023-10,29
2023-11,34
2023-12,35
2024-01,37
2024-02,33
2024-03,32
2024-04,33
2024-05,37
