Categoría: Salud

Mes,Psicólogo: (Italia)
2010-01,11
2010-02,15
2010-03,10
2010-04,11
2010-05,13
2010-06,8
2010-07,9
2010-08,11
2010-09,15
2010-10,14
2010-11,14
2010-12,9
2011-01,15
2011-02,13
2011-03,14
2011-04,14
2011-05,17
2011-06,13
2011-07,12
2011-08,13
2011-09,15
2011-10,11
2011-11,13
2011-12,12
2012-01,13
2012-02,10
2012-03,13
2012-04,11
2012-05,15
2012-06,12
2012-07,11
2012-08,14
2012-09,17
2012-10,13
2012-11,13
2012-12,9
2013-01,14
2013-02,14
2013-03,13
2013-04,15
2013-05,14
2013-06,12
2013-07,13
2013-08,13
2013-09,15
2013-10,14
2013-11,16
2013-12,12
2014-01,17
2014-02,17
2014-03,14
2014-04,14
2014-05,13
2014-06,15
2014-07,15
2014-08,14
2014-09,15
2014-10,17
2014-11,14
2014-12,12
2015-01,15
2015-02,15
2015-03,16
2015-04,15
2015-05,13
2015-06,12
2015-07,14
2015-08,11
2015-09,15
2015-10,14
2015-11,15
2015-12,14
2016-01,19
2016-02,16
2016-03,19
2016-04,17
2016-05,15
2016-06,15
2016-07,13
2016-08,14
2016-09,16
2016-10,16
2016-11,4
2016-12,2
2017-01,2
2017-02,3
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,2
2017-08,3
2017-09,2
2017-10,24
2017-11,36
2017-12,29
2018-01,38
2018-02,41
2018-03,47
2018-04,50
2018-05,54
2018-06,49
2018-07,50
2018-08,44
2018-09,57
2018-10,61
2018-11,58
2018-12,46
2019-01,68
2019-02,65
2019-03,62
2019-04,59
2019-05,55
2019-06,52
2019-07,55
2019-08,47
2019-09,63
2019-10,69
2019-11,67
2019-12,49
2020-01,71
2020-02,65
2020-03,56
2020-04,51
2020-05,54
2020-06,60
2020-07,50
2020-08,51
2020-09,58
2020-10,59
2020-11,58
2020-12,52
2021-01,71
2021-02,70
2021-03,65
2021-04,71
2021-05,66
2021-06,63
2021-07,58
2021-08,57
2021-09,66
2021-10,75
2021-11,76
2021-12,59
2022-01,84
2022-02,91
2022-03,92
2022-04,80
2022-05,76
2022-06,77
2022-07,77
2022-08,68
2022-09,83
2022-10,100
2022-11,91
2022-12,100
2023-01,96
2023-02,89
2023-03,73
2023-04,59
2023-05,60
2023-06,59
2023-07,55
2023-08,52
2023-09,61
2023-10,69
2023-11,67
2023-12,71
2024-01,98
2024-02,91
2024-03,99
2024-04,82
2024-05,85
